"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","1.8","5.2","10.4","-11.1","0.0",6,2018
"2","1.4","6.1","12.1","-10.3","1.0",6,2018
"3","6.6","10.9","15.0","-5.7","4.0",6,2018
"4","3.6","11.5","22.6","-5.2","12.9",6,2018
"5","13.2","20.5","27.3","+3.6","0.6",6,2018
"6","16.8","20.5","24.4","+3.5","1.0",6,2018
"7","10.8","13.2","16.8","-4.0","3.0",6,2018
"8","4.3","11.3","17.1","-6.0","0.0",6,2018
"9","6.3","11.5","16.3","-5.9","4.0",6,2018
"10","3.5","10.2","16.3","-7.4","0.0",6,2018
"11","3.8","9.4","14.5","-8.3","4.0",6,2018
"12","0.9","11.6","18.6","-6.2","0.0",6,2018
"13","4.4","13.9","23.8","-4.0","0.6",6,2018
"14","14.3","16.8","21.8","-1.3","0.0",6,2018
"15","7.0","12.4","16.5","-5.8","0.0",6,2018
"16","6.7","12.4","16.3","-5.9","0.0",6,2018
"17","10.6","14.1","18.8","-4.3","0.1",6,2018
"18","9.7","16.0","22.5","-2.5","0.0",6,2018
"19","9.6","20.5","27.4","+1.9","0.0",6,2018
"20","11.6","19.8","28.1","+1.1","4.0",6,2018
"21","10.2","16.1","22.7","-2.7","2.0",6,2018
"22","11.4","15.9","22.4","-3.0","2.0",6,2018
"23","15.4","20.4","24.9","+1.4","0.0",6,2018
"24","9.6","21.0","27.7","+2.0","0.0",6,2018
"25","10.8","21.3","29.6","+2.2","0.0",6,2018
"26","16.5","25.3","31.9","+6.1","0.0",6,2018
"27","17.4","25.3","30.6","+6.0","0.0",6,2018
"28","17.3","21.4","27.6","+2.1","5.0",6,2018
"29","17.5","21.8","26.3","+2.4","0.0",6,2018
"30","13.1","22.0","28.3","+2.5","0.0",6,2018
