"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","9.7","12.9","18.0","-3.2","2.0",6,2008
"2","6.6","11.6","17.9","-4.7","3.2",6,2008
"3","7.2","13.2","19.1","-3.2","0.0",6,2008
"4","10.0","15.2","20.3","-1.4","0.0",6,2008
"5","7.3","12.4","19.6","-4.3","9.0",6,2008
"6","8.4","11.4","16.5","-5.4","11.6",6,2008
"7","3.5","7.4","10.4","-9.6","4.7",6,2008
"8","2.4","6.2","10.0","-10.9","0.6",6,2008
"9","4.2","6.5","10.5","-10.8","0.0",6,2008
"10","6.6","10.0","15.5","-7.4","12.4",6,2008
"11","10.1","13.7","16.3","-3.8","0.1",6,2008
"12","7.1","17.0","26.1","-0.6","0.0",6,2008
"13","9.9","20.7","29.9","+2.9","0.0",6,2008
"14","15.9","22.6","28.2","+4.7","0.0",6,2008
"15","18.2","22.8","27.6","+4.8","0.0",6,2008
"16","13.1","21.7","27.4","+3.6","0.0",6,2008
"17","14.6","21.4","27.2","+3.2","0.0",6,2008
"18","10.8","21.0","29.8","+2.7","0.0",6,2008
"19","12.1","22.2","30.2","+3.8","0.0",6,2008
"20","17.1","23.0","29.5","+4.5","0.0",6,2008
"21","16.0","21.7","27.0","+3.1","0.0",6,2008
"22","16.7","22.9","28.8","+4.2","0.0",6,2008
"23","14.1","23.6","31.8","+4.9","0.0",6,2008
"24","15.1","23.7","30.3","+4.9","0.0",6,2008
"25","14.8","22.8","30.3","+3.9","0.0",6,2008
"26","13.7","17.5","22.0","-1.5","2.0",6,2008
"27","13.9","16.2","18.7","-2.8","0.3",6,2008
"28","11.8","15.2","18.4","-3.9","0.0",6,2008
"29","12.7","15.6","19.2","-3.6","0.0",6,2008
"30","12.5","17.7","23.6","-1.5","0.0",6,2008
