"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","12.6","18.9","27.1","-0.4","1.8",7,2003
"2","14.7","17.7","21.9","-1.6","6.3",7,2003
"3","12.4","19.6","25.4","+0.2","0.0",7,2003
"4","13.0","19.5","25.4","+0.1","1.2",7,2003
"5","15.1","19.4","25.5","0.0","13.1",7,2003
"6","16.3","22.0","26.9","+2.5","0.0",7,2003
"7","15.5","22.6","28.5","+3.1","0.4",7,2003
"8","16.4","23.5","28.6","+4.0","0.0",7,2003
"9","17.1","24.3","30.5","+4.8","0.0",7,2003
"10","17.7","23.5","29.2","+4.0","8.2",7,2003
"11","19.5","21.7","24.9","+2.2","0.5",7,2003
"12","13.9","19.5","23.4","0.0","0.0",7,2003
"13","12.8","19.0","24.4","-0.5","0.0",7,2003
"14","11.7","20.0","25.9","+0.5","0.0",7,2003
"15","13.8","20.5","25.5","+1.0","0.0",7,2003
"16","16.6","19.9","24.8","+0.4","2.3",7,2003
"17","13.1","18.2","23.6","-1.3","0.0",7,2003
"18","12.6","20.6","26.1","+1.2","0.0",7,2003
"19","12.9","20.6","27.1","+1.2","0.0",7,2003
"20","13.0","18.3","24.9","-1.1","0.0",7,2003
"21","12.0","16.5","20.4","-2.8","0.0",7,2003
"22","7.4","16.7","24.2","-2.6","0.0",7,2003
"23","10.9","20.1","26.4","+0.9","0.0",7,2003
"24","13.1","20.6","27.7","+1.4","0.0",7,2003
"25","12.7","21.3","27.9","+2.2","0.0",7,2003
"26","13.2","21.7","28.8","+2.7","0.0",7,2003
"27","13.8","22.1","29.6","+3.1","0.0",7,2003
"28","14.9","23.1","29.0","+4.2","0.0",7,2003
"29","14.3","22.2","29.0","+3.4","0.0",7,2003
"30","14.7","19.7","24.2","+1.0","0.0",7,2003
"31","12.4","17.1","22.0","-1.5","0.0",7,2003
