"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","5.6","7.6","10.8","+7.8","2.2",4,2009
"2","3.6","6.6","10.0","+6.5","1.9",4,2009
"3","1.0","2.5","5.7","+2.2","6.0",4,2009
"4","-4.5","-2.0","1.2","-2.6","0.0",4,2009
"5","-9.3","-4.8","-1.3","-5.7","0.0",4,2009
"6","-9.0","-4.6","-1.0","-5.7","0.3",4,2009
"7","-6.2","-3.6","-1.0","-5.0","5.0",4,2009
"8","-9.3","-5.0","-2.0","-6.7","0.0",4,2009
"9","-13.4","-5.5","-1.3","-7.4","0.0",4,2009
"10","-9.6","-3.4","1.1","-5.6","0.0",4,2009
"11","-11.0","-2.5","4.0","-5.0","0.0",4,2009
"12","-9.3","-0.9","6.0","-3.6","0.0",4,2009
"13","-1.0","3.5","8.8","+0.5","0.0",4,2009
"14","-5.1","2.7","10.4","-0.5","0.0",4,2009
"15","2.4","7.4","14.2","+3.9","0.0",4,2009
"16","2.6","6.7","12.2","+3.0","0.0",4,2009
"17","-4.0","-1.1","2.8","-5.0","3.6",4,2009
"18","-6.8","0.0","6.3","-4.2","0.0",4,2009
"19","1.7","6.0","9.9","+1.6","1.0",4,2009
"20","-2.7","2.8","7.0","-1.9","0.0",4,2009
"21","0.0","1.0","4.6","-3.9","13.8",4,2009
"22","-1.0","-0.2","2.0","-5.3","3.4",4,2009
"23","-4.2","-1.3","1.9","-6.7","1.2",4,2009
"24","-1.5","-0.1","2.5","-5.7","2.6",4,2009
"25","-3.1","-1.0","2.0","-6.8","5.7",4,2009
"26","-10.5","-0.8","6.5","-6.8","0.0",4,2009
"27","-0.9","4.9","13.9","-1.4","7.3",4,2009
"28","4.0","8.3","13.0","+1.8","0.7",4,2009
"29","6.0","12.5","18.8","+5.8","0.0",4,2009
"30","3.6","7.0","15.7","+0.1","0.3",4,2009
