"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","10.3","13.0","15.6","-4.6","0.0",8,2014
"2","10.6","13.4","17.0","-4.1","0.0",8,2014
"3","13.6","16.1","19.6","-1.3","0.0",8,2014
"4","11.2","18.8","27.2","+1.6","0.0",8,2014
"5","14.8","21.2","26.6","+4.1","0.0",8,2014
"6","12.8","21.4","26.8","+4.5","0.0",8,2014
"7","12.8","20.7","27.4","+3.9","0.0",8,2014
"8","14.0","22.4","29.1","+5.8","0.0",8,2014
"9","17.9","23.3","29.7","+6.8","0.0",8,2014
"10","19.5","23.5","28.5","+7.2","0.3",8,2014
"11","15.9","19.1","25.5","+2.9","0.0",8,2014
"12","11.6","13.0","18.8","-3.0","15.7",8,2014
"13","5.8","13.4","19.5","-2.5","0.0",8,2014
"14","6.1","13.8","20.6","-1.9","0.0",8,2014
"15","14.2","17.2","22.1","+1.6","0.0",8,2014
"16","16.4","20.2","26.8","+4.8","3.0",8,2014
"17","18.1","20.1","23.6","+4.9","1.8",8,2014
"18","15.9","19.5","24.3","+4.4","0.0",8,2014
"19","14.8","18.2","21.7","+3.3","3.0",8,2014
"20","13.1","16.0","19.6","+1.3","0.9",8,2014
"21","15.3","18.5","23.5","+4.0","0.4",8,2014
"22","10.7","18.3","25.9","+3.9","0.0",8,2014
"23","12.8","18.0","23.0","+3.8","0.0",8,2014
"24","12.9","16.5","20.1","+2.5","0.0",8,2014
"25","5.9","11.9","16.7","-1.9","0.0",8,2014
"26","3.7","12.1","19.4","-1.5","0.0",8,2014
"27","12.5","15.3","18.7","+1.9","10.6",8,2014
"28","8.9","14.0","19.2","+0.8","0.0",8,2014
"29","12.8","14.2","16.5","+1.2","13.0",8,2014
"30","12.5","14.1","17.2","+1.3","7.0",8,2014
"31","10.2","11.7","15.0","-0.9","0.7",8,2014
