"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-20.0","-18.3","-13.5","-4.4","0.0",2,2002
"2","-25.8","-22.2","-16.7","-8.4","0.0",2,2002
"3","-23.5","-19.3","-14.0","-5.6","0.0",2,2002
"4","-18.4","-15.4","-11.5","-1.7","0.3",2,2002
"5","-23.0","-17.9","-12.7","-4.3","0.0",2,2002
"6","-12.7","-4.6","1.1","+8.9","4.2",2,2002
"7","-1.6","-0.2","0.7","+13.1","2.7",2,2002
"8","-3.1","-2.2","-1.3","+11.0","2.1",2,2002
"9","-1.7","-0.8","0.1","+12.3","2.7",2,2002
"10","-3.0","-1.5","0.1","+11.5","1.8",2,2002
"11","-4.6","-3.4","-2.3","+9.4","0.5",2,2002
"12","-2.5","-0.2","1.0","+12.5","5.1",2,2002
"13","-4.1","-1.7","0.7","+10.8","0.4",2,2002
"14","-4.1","-1.5","-0.2","+10.8","1.4",2,2002
"15","-4.1","-2.0","-0.6","+10.2","1.9",2,2002
"16","-4.1","-2.8","-1.5","+9.2","1.0",2,2002
"17","-7.3","-5.2","-2.7","+6.6","3.8",2,2002
"18","-2.8","-0.7","0.9","+10.9","4.0",2,2002
"19","-7.5","-4.4","-1.5","+7.0","0.8",2,2002
"20","-5.5","-0.9","2.2","+10.3","0.1",2,2002
"21","-1.3","0.1","1.2","+11.1","2.7",2,2002
"22","-2.1","0.1","1.6","+10.8","0.0",2,2002
"23","-3.1","-0.7","1.9","+9.8","8.8",2,2002
"24","-2.8","-0.5","0.1","+9.7","1.0",2,2002
"25","-2.7","-0.8","1.0","+9.2","0.0",2,2002
"26","-4.7","-1.5","1.6","+8.2","0.0",2,2002
"27","-1.6","0.3","1.5","+9.8","0.0",2,2002
"28","-2.3","-1.1","0.7","+8.1","2.0",2,2002
"29","","","","","",2,2002
