"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","18.8","25.0","32.7","+7.4","0.0",8,2016
"2","16.0","23.9","30.9","+6.4","2.0",8,2016
"3","19.3","25.5","33.5","+8.1","0.8",8,2016
"4","18.4","24.4","31.9","+7.2","5.0",8,2016
"5","18.9","23.5","28.1","+6.4","0.0",8,2016
"6","16.1","21.6","27.5","+4.7","0.0",8,2016
"7","14.9","22.8","29.5","+6.0","0.0",8,2016
"8","15.6","24.6","31.5","+8.0","0.0",8,2016
"9","18.1","24.6","32.1","+8.1","0.3",8,2016
"10","18.8","22.8","26.8","+6.5","0.0",8,2016
"11","15.1","20.0","27.4","+3.8","1.0",8,2016
"12","19.6","23.7","30.0","+7.7","0.0",8,2016
"13","17.1","25.2","32.5","+9.3","0.0",8,2016
"14","20.1","25.8","33.3","+10.1","0.0",8,2016
"15","20.6","27.2","34.3","+11.6","0.0",8,2016
"16","18.8","25.7","33.3","+10.3","0.0",8,2016
"17","17.1","22.6","27.9","+7.4","0.0",8,2016
"18","13.5","21.7","28.8","+6.6","0.0",8,2016
"19","12.8","22.0","29.0","+7.1","0.0",8,2016
"20","13.2","21.9","29.9","+7.2","0.0",8,2016
"21","16.2","23.0","30.9","+8.5","0.0",8,2016
"22","15.4","23.7","32.2","+9.3","0.0",8,2016
"23","16.1","22.4","29.6","+8.2","0.0",8,2016
"24","16.9","22.7","30.0","+8.7","0.0",8,2016
"25","18.3","24.6","32.2","+10.8","0.0",8,2016
"26","16.4","18.7","27.9","+5.1","0.0",8,2016
"27","11.9","15.7","20.7","+2.3","0.0",8,2016
"28","9.0","14.5","22.4","+1.3","19.0",8,2016
"29","8.4","11.7","16.1","-1.3","1.8",8,2016
"30","2.4","9.3","14.9","-3.5","0.8",8,2016
"31","8.3","13.3","23.2","+0.7","9.0",8,2016
