"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-23.6","-21.4","-19.4","-17.5","0.0",12,2010
"2","-21.5","-18.7","-15.3","-14.7","0.0",12,2010
"3","-15.6","-12.4","-10.0","-8.3","0.0",12,2010
"4","-10.0","-5.0","0.2","-0.8","6.5",12,2010
"5","-11.8","-7.9","-2.9","-3.6","0.0",12,2010
"6","-13.4","-10.7","-8.0","-6.3","0.0",12,2010
"7","-8.3","-4.8","-3.7","-0.2","0.2",12,2010
"8","-4.6","-4.0","-3.1","+0.7","1.5",12,2010
"9","-5.0","-2.9","2.2","+1.9","4.7",12,2010
"10","-3.2","0.2","3.4","+5.1","13.1",12,2010
"11","-9.8","-6.1","-3.2","-1.1","0.2",12,2010
"12","-13.1","-9.7","-6.4","-4.6","2.5",12,2010
"13","-6.4","-4.1","-2.7","+1.1","1.5",12,2010
"14","-11.5","-7.5","-3.1","-2.2","0.0",12,2010
"15","-10.1","-9.6","-8.6","-4.3","0.2",12,2010
"16","-11.2","-10.3","-9.6","-4.9","0.2",12,2010
"17","-14.1","-10.4","-8.5","-4.9","0.2",12,2010
"18","-13.0","-11.2","-9.0","-5.6","2.7",12,2010
"19","-10.3","-6.7","-3.8","-1.0","1.4",12,2010
"20","-8.5","-7.0","-5.4","-1.2","7.0",12,2010
"21","-9.2","-4.1","-0.4","+1.8","2.7",12,2010
"22","-7.4","-5.9","-4.7","+0.1","0.0",12,2010
"23","-6.8","-5.7","-4.8","+0.4","0.4",12,2010
"24","-8.5","-7.5","-6.4","-1.3","6.4",12,2010
"25","-6.4","-4.7","-2.2","+1.5","4.0",12,2010
"26","-4.9","-3.5","-2.2","+2.8","9.9",12,2010
"27","-5.7","-5.4","-4.8","+1.0","0.3",12,2010
"28","-6.5","-5.6","-4.9","+0.9","0.5",12,2010
"29","-8.7","-7.3","-5.4","-0.7","9.4",12,2010
"30","-9.3","-6.5","-4.0","+0.2","1.1",12,2010
"31","-11.6","-10.4","-9.0","-3.7","2.1",12,2010
