"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","13.4","15.8","18.7","+1.6","3.2",9,2011
"2","11.0","15.0","19.4","+1.0","4.2",9,2011
"3","11.2","13.2","17.2","-0.6","2.8",9,2011
"4","8.9","12.1","16.3","-1.4","0.0",9,2011
"5","9.6","11.8","14.7","-1.5","0.5",9,2011
"6","7.6","12.5","16.9","-0.6","0.0",9,2011
"7","6.1","12.1","18.8","-0.8","0.0",9,2011
"8","8.9","11.9","15.0","-0.8","2.9",9,2011
"9","11.4","12.1","13.6","-0.4","4.1",9,2011
"10","11.1","12.1","15.4","-0.2","6.7",9,2011
"11","11.0","12.4","13.6","+0.3","34.6",9,2011
"12","11.7","13.0","14.0","+1.1","2.1",9,2011
"13","9.5","12.1","15.9","+0.4","5.2",9,2011
"14","12.4","15.6","19.5","+4.1","1.2",9,2011
"15","10.7","14.4","18.5","+3.1","0.0",9,2011
"16","11.3","12.9","15.0","+1.8","0.0",9,2011
"17","8.8","11.1","15.0","+0.2","0.6",9,2011
"18","9.0","12.0","16.6","+1.2","0.0",9,2011
"19","5.5","10.8","17.4","+0.2","0.0",9,2011
"20","6.6","13.3","19.4","+2.9","0.1",9,2011
"21","10.6","13.6","17.3","+3.4","0.3",9,2011
"22","8.7","12.4","16.9","+2.4","0.0",9,2011
"23","10.7","13.0","15.0","+3.1","2.3",9,2011
"24","7.6","10.2","14.7","+0.5","0.1",9,2011
"25","6.2","8.8","12.3","-0.7","0.3",9,2011
"26","7.6","9.5","12.0","+0.2","0.0",9,2011
"27","4.4","9.2","12.8","0.0","0.0",9,2011
"28","9.6","11.4","13.5","+2.4","2.1",9,2011
"29","6.7","8.2","9.8","-0.6","1.1",9,2011
"30","5.9","9.6","12.3","+0.9","0.5",9,2011
