"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-7.5","-5.2","-2.0","+2.5","0.3",2,2004
"2","-5.2","-3.7","-2.0","+4.0","0.0",2,2004
"3","-14.1","-11.7","-3.9","-4.0","0.0",2,2004
"4","-17.0","-12.1","-7.6","-4.4","0.2",2,2004
"5","-7.6","-3.5","-0.2","+4.1","4.8",2,2004
"6","-0.8","0.4","1.4","+8.0","3.8",2,2004
"7","-3.9","-3.0","-0.7","+4.5","3.2",2,2004
"8","-5.3","-4.3","-3.3","+3.1","0.8",2,2004
"9","-8.7","-7.2","-4.9","+0.2","0.0",2,2004
"10","-6.9","-5.6","-3.5","+1.7","9.3",2,2004
"11","-12.4","-11.0","-5.3","-3.8","5.1",2,2004
"12","-16.0","-13.8","-11.9","-6.7","0.4",2,2004
"13","-20.8","-17.0","-13.7","-9.9","0.0",2,2004
"14","-21.0","-16.4","-9.5","-9.4","0.0",2,2004
"15","-19.8","-14.0","-6.6","-7.1","0.0",2,2004
"16","-7.6","-6.0","-4.2","+0.7","1.6",2,2004
"17","-12.3","-9.2","-4.5","-2.6","0.4",2,2004
"18","-14.8","-13.4","-10.8","-6.9","0.0",2,2004
"19","-18.0","-14.9","-11.6","-8.5","0.0",2,2004
"20","-22.0","-17.2","-12.3","-11.0","0.0",2,2004
"21","-16.4","-8.8","-3.8","-2.7","0.9",2,2004
"22","-5.3","-2.5","1.0","+3.4","0.8",2,2004
"23","-6.7","-4.0","-1.9","+1.8","0.0",2,2004
"24","-2.7","-1.8","-1.0","+3.8","4.0",2,2004
"25","-2.0","-1.0","0.4","+4.5","5.4",2,2004
"26","-3.2","-0.8","1.8","+4.5","0.5",2,2004
"27","0.3","1.1","2.3","+6.2","1.6",2,2004
"28","1.1","2.2","3.1","+7.1","7.4",2,2004
"29","0.6","1.2","2.3","+6.0","0.0",2,2004
