"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","6.9","12.8","21.8","+4.9","0.0",10,2005
"2","2.9","10.9","21.1","+3.1","0.0",10,2005
"3","3.6","10.7","19.7","+3.1","0.0",10,2005
"4","4.1","11.6","20.0","+4.2","0.0",10,2005
"5","8.1","10.5","14.5","+3.3","0.0",10,2005
"6","1.4","7.2","12.4","+0.1","0.0",10,2005
"7","5.9","9.5","11.5","+2.6","0.0",10,2005
"8","8.8","10.4","13.5","+3.7","0.0",10,2005
"9","1.9","7.7","14.6","+1.2","0.0",10,2005
"10","0.6","7.2","15.4","+0.9","0.0",10,2005
"11","1.2","7.5","16.6","+1.4","0.0",10,2005
"12","1.9","7.9","16.4","+2.0","0.0",10,2005
"13","1.6","7.4","14.6","+1.7","0.0",10,2005
"14","4.2","8.9","12.7","+3.4","0.4",10,2005
"15","5.8","9.1","11.1","+3.8","4.6",10,2005
"16","4.7","6.8","8.6","+1.7","10.5",10,2005
"17","7.7","8.6","9.6","+3.7","0.9",10,2005
"18","3.8","6.6","8.5","+1.9","0.0",10,2005
"19","1.6","3.4","4.7","-1.1","0.5",10,2005
"20","-3.8","0.9","7.0","-3.4","0.0",10,2005
"21","-2.1","2.4","6.6","-1.6","0.0",10,2005
"22","2.4","5.1","8.5","+1.3","0.0",10,2005
"23","5.7","9.8","12.2","+6.2","1.0",10,2005
"24","9.5","11.8","13.6","+8.4","3.6",10,2005
"25","-0.3","1.7","9.5","-1.4","1.7",10,2005
"26","-3.0","-1.2","0.3","-4.1","10.1",10,2005
"27","-1.8","0.3","2.1","-2.3","10.7",10,2005
"28","-6.6","-3.8","-1.4","-6.2","0.5",10,2005
"29","-9.9","-4.5","0.9","-6.7","0.0",10,2005
"30","-4.6","-0.8","3.4","-2.7","0.0",10,2005
"31","-2.4","0.3","4.2","-1.4","0.0",10,2005
