"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","7.6","14.7","21.0","+4.8","0.0",5,2008
"2","9.7","14.8","19.2","+4.7","0.0",5,2008
"3","3.4","11.6","17.1","+1.2","0.0",5,2008
"4","2.4","11.7","19.5","+1.1","0.0",5,2008
"5","4.4","13.9","21.8","+3.1","0.0",5,2008
"6","3.3","9.8","16.5","-1.2","0.8",5,2008
"7","1.0","2.7","5.8","-8.5","0.3",5,2008
"8","-3.0","5.2","12.4","-6.2","0.0",5,2008
"9","1.6","9.1","13.8","-2.5","0.0",5,2008
"10","5.5","10.3","14.9","-1.5","0.0",5,2008
"11","3.3","11.5","18.2","-0.5","0.0",5,2008
"12","5.0","14.0","21.6","+1.9","0.0",5,2008
"13","5.9","12.3","19.0","0.0","1.6",5,2008
"14","3.4","6.4","10.9","-6.1","1.0",5,2008
"15","2.5","5.6","9.8","-7.1","1.5",5,2008
"16","0.3","7.6","13.4","-5.3","0.0",5,2008
"17","7.2","11.1","16.7","-2.0","6.9",5,2008
"18","6.1","16.0","23.4","+2.8","0.0",5,2008
"19","16.0","19.9","24.5","+6.5","1.0",5,2008
"20","13.0","18.0","24.1","+4.4","0.0",5,2008
"21","12.1","14.0","17.4","+0.2","6.8",5,2008
"22","10.3","11.2","12.8","-2.7","16.7",5,2008
"23","6.9","8.2","10.4","-5.9","12.9",5,2008
"24","6.6","7.7","8.5","-6.6","6.6",5,2008
"25","5.8","6.8","7.6","-7.6","10.6",5,2008
"26","5.9","10.8","16.4","-3.8","1.6",5,2008
"27","3.2","11.9","19.1","-2.8","0.0",5,2008
"28","8.3","13.4","18.9","-1.5","0.0",5,2008
"29","8.0","14.6","19.7","-0.5","0.0",5,2008
"30","10.4","14.5","17.6","-0.7","0.0",5,2008
"31","8.0","11.1","13.4","-4.3","0.0",5,2008
