"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-6.9","-3.7","-1.8","+3.1","1.4",1,2009
"2","-11.7","-10.0","-6.5","-3.1","0.3",1,2009
"3","-13.7","-12.3","-10.8","-5.3","0.3",1,2009
"4","-14.8","-12.8","-11.2","-5.8","0.7",1,2009
"5","-14.9","-12.9","-11.2","-5.8","0.3",1,2009
"6","-15.3","-12.3","-8.5","-5.1","0.0",1,2009
"7","-10.7","-9.0","-7.6","-1.8","0.0",1,2009
"8","-14.4","-12.0","-10.5","-4.7","1.2",1,2009
"9","-18.7","-13.9","-9.6","-6.6","1.6",1,2009
"10","-18.6","-13.2","-9.6","-5.8","0.4",1,2009
"11","-18.7","-8.9","-2.4","-1.5","1.1",1,2009
"12","-2.6","-0.2","0.9","+7.3","3.0",1,2009
"13","-1.1","0.3","1.5","+7.8","0.0",1,2009
"14","-3.9","-2.0","-0.7","+5.6","0.0",1,2009
"15","-3.3","-1.4","-0.1","+6.2","3.1",1,2009
"16","-3.6","-2.3","-1.0","+5.3","2.1",1,2009
"17","-2.4","-1.7","-0.9","+5.9","1.3",1,2009
"18","-6.1","-4.5","-2.3","+3.2","0.7",1,2009
"19","-8.4","-6.4","-4.5","+1.3","2.6",1,2009
"20","-6.8","-5.4","-4.5","+2.3","0.8",1,2009
"21","-9.7","-6.6","-4.5","+1.1","2.7",1,2009
"22","-4.6","-1.8","0.3","+6.0","4.4",1,2009
"23","0.1","0.8","1.5","+8.6","4.8",1,2009
"24","-2.8","-1.7","0.2","+6.1","0.0",1,2009
"25","-1.7","-0.1","0.4","+7.7","0.0",1,2009
"26","-4.3","-0.7","0.7","+7.1","0.0",1,2009
"27","-4.9","-2.3","-0.2","+5.5","0.9",1,2009
"28","-0.8","0.0","0.8","+7.8","1.1",1,2009
"29","-0.9","0.2","1.2","+8.0","5.3",1,2009
"30","-6.5","-3.2","-0.8","+4.6","0.5",1,2009
"31","-17.2","-13.4","-6.3","-5.6","1.1",1,2009
