"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","9.5","13.2","18.4","-2.3","14.1",6,2003
"2","4.3","6.6","11.6","-9.0","6.3",6,2003
"3","3.7","4.7","6.3","-11.1","0.0",6,2003
"4","4.3","9.4","15.5","-6.5","0.0",6,2003
"5","8.8","12.9","17.0","-3.2","0.3",6,2003
"6","10.5","14.0","18.2","-2.2","2.4",6,2003
"7","10.4","11.9","14.0","-4.4","4.3",6,2003
"8","10.0","13.1","17.5","-3.3","4.7",6,2003
"9","9.5","16.3","22.9","-0.2","0.0",6,2003
"10","14.0","17.8","23.7","+1.1","5.2",6,2003
"11","10.8","13.3","16.1","-3.5","0.7",6,2003
"12","7.6","12.7","16.8","-4.2","0.0",6,2003
"13","11.0","13.7","18.3","-3.3","3.8",6,2003
"14","9.5","11.3","13.5","-5.8","1.9",6,2003
"15","5.0","12.1","18.9","-5.1","0.8",6,2003
"16","7.6","10.2","12.9","-7.1","3.1",6,2003
"17","7.1","12.4","17.5","-5.0","0.0",6,2003
"18","8.5","13.5","18.0","-4.0","0.0",6,2003
"19","9.0","13.5","17.3","-4.0","0.0",6,2003
"20","7.1","13.8","17.7","-3.8","0.0",6,2003
"21","12.1","14.6","17.6","-3.1","6.6",6,2003
"22","10.0","13.8","17.6","-4.0","2.7",6,2003
"23","10.0","12.9","16.1","-4.9","10.9",6,2003
"24","10.9","14.4","18.7","-3.5","1.5",6,2003
"25","7.4","14.7","20.2","-3.3","0.0",6,2003
"26","10.8","15.6","21.2","-2.4","1.0",6,2003
"27","13.0","15.7","19.4","-2.4","1.8",6,2003
"28","10.3","12.1","16.5","-6.0","5.1",6,2003
"29","10.2","11.4","13.0","-6.8","2.1",6,2003
"30","10.7","13.0","15.1","-5.2","0.8",6,2003
