"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","8.0","10.6","13.0","+2.1","0.5",10,2012
"2","4.4","9.8","16.2","+1.4","0.0",10,2012
"3","9.8","11.8","13.4","+3.6","4.6",10,2012
"4","11.9","14.4","18.3","+6.4","0.0",10,2012
"5","9.3","13.0","16.6","+5.2","4.7",10,2012
"6","8.2","9.6","12.0","+1.9","3.1",10,2012
"7","5.9","9.5","16.4","+2.0","9.6",10,2012
"8","1.8","4.9","7.0","-2.4","11.5",10,2012
"9","4.2","5.2","6.5","-1.9","4.2",10,2012
"10","3.4","5.5","8.1","-1.4","4.2",10,2012
"11","5.0","7.1","9.6","+0.4","1.3",10,2012
"12","-0.5","4.8","8.5","-1.7","3.4",10,2012
"13","3.4","5.9","8.4","-0.5","5.5",10,2012
"14","0.4","4.7","8.3","-1.4","0.0",10,2012
"15","2.2","7.7","11.4","+1.8","0.0",10,2012
"16","7.6","8.7","10.0","+3.0","0.0",10,2012
"17","8.6","10.9","14.1","+5.4","0.0",10,2012
"18","10.0","12.5","14.8","+7.2","8.1",10,2012
"19","8.1","9.7","12.0","+4.6","0.0",10,2012
"20","8.2","11.2","14.4","+6.3","0.0",10,2012
"21","9.1","10.6","12.0","+6.0","0.0",10,2012
"22","2.0","7.4","11.0","+3.0","6.1",10,2012
"23","-1.0","0.2","2.0","-4.0","0.0",10,2012
"24","-1.8","0.0","0.6","-3.9","0.0",10,2012
"25","-0.4","2.3","4.5","-1.4","0.0",10,2012
"26","0.1","1.7","3.3","-1.8","9.4",10,2012
"27","-1.5","1.3","4.4","-1.9","0.0",10,2012
"28","-0.5","1.7","4.3","-1.3","38.9",10,2012
"29","-0.6","0.6","3.9","-2.1","0.7",10,2012
"30","-3.7","-1.4","1.0","-3.9","4.6",10,2012
"31","-0.6","0.4","1.4","-1.8","17.6",10,2012
