"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-5.2","-3.6","-2.0","+1.1","0.0",3,2012
"2","-4.8","-3.3","-0.9","+1.1","0.0",3,2012
"3","-13.5","-7.1","-1.4","-2.9","0.0",3,2012
"4","-3.2","-2.3","-1.5","+1.7","1.2",3,2012
"5","-7.4","-5.8","-3.1","-2.1","0.2",3,2012
"6","-11.4","-8.2","-5.0","-4.7","0.0",3,2012
"7","-12.5","-9.1","-6.0","-5.9","0.0",3,2012
"8","-15.2","-10.2","-7.3","-7.2","0.0",3,2012
"9","-14.6","-9.2","-3.8","-6.4","0.0",3,2012
"10","-11.3","-5.6","1.0","-3.1","0.0",3,2012
"11","-5.7","-3.7","-1.0","-1.4","0.8",3,2012
"12","-6.1","-2.9","0.2","-0.9","5.4",3,2012
"13","-2.3","-0.1","2.4","+1.7","0.5",3,2012
"14","-3.3","-1.2","0.8","+0.3","1.1",3,2012
"15","-9.7","-6.8","-3.3","-5.5","1.0",3,2012
"16","-12.6","-7.2","-2.0","-6.2","0.0",3,2012
"17","-7.0","-0.5","5.5","+0.3","0.0",3,2012
"18","-1.0","2.5","6.0","+3.0","0.0",3,2012
"19","0.0","2.2","4.7","+2.5","1.2",3,2012
"20","-1.5","0.7","3.2","+0.7","7.6",3,2012
"21","-1.3","-0.5","1.0","-0.7","13.1",3,2012
"22","-1.6","1.0","4.6","+0.5","0.0",3,2012
"23","-3.4","-0.8","1.1","-1.5","7.9",3,2012
"24","-8.9","-5.1","-0.5","-6.1","0.0",3,2012
"25","-9.1","-4.2","-1.4","-5.4","6.4",3,2012
"26","-7.5","-3.1","0.1","-4.6","0.0",3,2012
"27","-6.8","-2.6","1.4","-4.4","0.0",3,2012
"28","-9.1","-2.8","1.8","-4.8","0.2",3,2012
"29","-0.3","0.7","2.6","-1.6","7.2",3,2012
"30","0.4","1.2","2.7","-1.3","7.4",3,2012
"31","-2.3","0.1","1.2","-2.7","0.6",3,2012
