"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","15.1","18.6","23.6","-0.3","0.0",8,2013
"2","15.9","18.3","23.2","-0.5","3.0",8,2013
"3","12.3","18.7","24.8","0.0","0.0",8,2013
"4","17.9","19.2","21.2","+0.6","0.0",8,2013
"5","17.6","19.1","24.4","+0.6","17.0",8,2013
"6","16.3","20.2","27.0","+1.8","1.0",8,2013
"7","16.1","20.7","27.1","+2.4","0.0",8,2013
"8","15.0","20.6","26.9","+2.4","0.0",8,2013
"9","13.3","21.3","29.1","+3.2","0.0",8,2013
"10","17.7","23.5","29.4","+5.5","0.0",8,2013
"11","15.4","22.6","30.2","+4.7","2.0",8,2013
"12","17.3","20.3","24.9","+2.6","0.1",8,2013
"13","13.1","19.9","26.5","+2.3","0.0",8,2013
"14","14.7","20.2","26.0","+2.7","6.0",8,2013
"15","16.4","18.6","21.1","+1.3","0.0",8,2013
"16","11.1","17.1","22.8","-0.1","0.0",8,2013
"17","10.0","16.8","23.6","-0.2","0.0",8,2013
"18","10.3","17.7","24.9","+0.8","0.0",8,2013
"19","10.4","17.5","24.2","+0.8","0.0",8,2013
"20","10.3","17.7","27.0","+1.1","0.0",8,2013
"21","11.9","19.9","27.5","+3.5","0.0",8,2013
"22","16.2","21.4","27.8","+5.2","0.0",8,2013
"23","14.2","19.6","26.4","+3.6","3.0",8,2013
"24","13.1","14.7","17.3","-1.1","16.0",8,2013
"25","11.9","13.8","15.9","-1.9","3.0",8,2013
"26","10.5","15.0","19.7","-0.5","0.0",8,2013
"27","8.2","12.5","17.1","-2.8","0.0",8,2013
"28","7.1","13.6","20.5","-1.5","0.0",8,2013
"29","13.2","16.6","20.4","+1.7","0.1",8,2013
"30","10.3","15.2","18.8","+0.6","0.9",8,2013
"31","13.8","15.2","19.4","+0.8","20.8",8,2013
