"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-9.0","-0.9","4.7","-4.0","0.0",4,2011
"2","-0.1","2.5","5.9","-0.8","0.8",4,2011
"3","2.8","7.9","13.7","+4.3","0.0",4,2011
"4","1.2","6.4","12.2","+2.6","0.0",4,2011
"5","2.2","4.9","8.7","+0.8","0.0",4,2011
"6","2.4","4.9","8.4","+0.5","0.0",4,2011
"7","-1.7","3.8","8.4","-0.8","0.6",4,2011
"8","1.6","3.4","4.8","-1.5","8.2",4,2011
"9","0.2","0.9","1.9","-4.2","22.5",4,2011
"10","1.0","2.5","5.0","-2.9","0.1",4,2011
"11","0.5","1.8","3.2","-3.8","0.9",4,2011
"12","-0.2","0.7","2.5","-5.2","5.4",4,2011
"13","-0.2","1.6","4.5","-4.5","2.2",4,2011
"14","0.5","2.2","4.6","-4.2","1.7",4,2011
"15","1.4","4.3","8.0","-2.3","0.0",4,2011
"16","-0.1","4.9","9.6","-2.0","0.0",4,2011
"17","1.2","5.9","10.6","-1.2","0.0",4,2011
"18","4.2","7.3","13.3","-0.1","1.3",4,2011
"19","1.4","4.1","8.2","-3.5","0.0",4,2011
"20","-0.2","3.2","6.0","-4.6","0.0",4,2011
"21","-2.1","5.9","13.0","-2.2","0.0",4,2011
"22","6.6","10.4","15.3","+2.1","0.0",4,2011
"23","5.6","10.5","17.1","+1.9","0.1",4,2011
"24","4.2","11.6","17.5","+2.8","0.0",4,2011
"25","4.5","12.3","19.5","+3.3","0.0",4,2011
"26","6.8","12.8","18.1","+3.5","0.0",4,2011
"27","8.0","14.5","21.0","+5.0","0.0",4,2011
"28","11.3","16.2","22.3","+6.5","0.0",4,2011
"29","7.3","12.9","17.8","+2.9","0.0",4,2011
"30","6.5","13.0","18.2","+2.8","0.3",4,2011
