"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","0.6","1.5","2.0","+7.5","0.9",1,2017
"2","-0.1","1.1","1.7","+7.1","3.9",1,2017
"3","-8.8","-5.6","-0.1","+0.5","2.0",1,2017
"4","-11.7","-10.3","-8.6","-4.2","1.4",1,2017
"5","-17.1","-11.7","-8.5","-5.6","5.0",1,2017
"6","-27.2","-24.5","-17.1","-18.4","0.7",1,2017
"7","-29.9","-27.4","-23.5","-21.2","0.0",1,2017
"8","-28.6","-25.6","-21.5","-19.4","0.0",1,2017
"9","-25.5","-20.8","-15.3","-14.6","0.0",1,2017
"10","-15.6","-10.0","-6.7","-3.8","0.0",1,2017
"11","-11.9","-9.2","-6.5","-2.9","0.2",1,2017
"12","-11.0","-8.8","-6.8","-2.5","4.5",1,2017
"13","-6.8","-3.9","-3.0","+2.4","2.0",1,2017
"14","-5.1","-3.0","-1.0","+3.4","0.0",1,2017
"15","-1.9","-1.2","-0.5","+5.2","6.0",1,2017
"16","-1.7","-1.0","0.4","+5.4","0.9",1,2017
"17","-8.1","-3.7","-1.4","+2.8","0.4",1,2017
"18","-5.7","-4.7","-3.2","+1.8","0.0",1,2017
"19","-5.4","-3.9","-2.7","+2.7","0.0",1,2017
"20","-4.7","-2.2","0.9","+4.4","0.0",1,2017
"21","-5.2","-3.5","-1.8","+3.2","0.5",1,2017
"22","-8.3","-4.7","-0.7","+2.0","0.9",1,2017
"23","-2.0","-0.1","1.5","+6.6","1.4",1,2017
"24","-1.6","-0.5","0.9","+6.3","3.0",1,2017
"25","-14.8","-10.5","-1.6","-3.7","5.0",1,2017
"26","-22.9","-15.8","-10.9","-8.9","3.0",1,2017
"27","-10.9","-5.2","-1.8","+1.8","1.2",1,2017
"28","-2.5","-1.7","-1.2","+5.3","0.2",1,2017
"29","-7.4","-6.3","-2.5","+0.8","0.0",1,2017
"30","-12.0","-9.3","-6.4","-2.2","0.0",1,2017
"31","-11.7","-9.5","-7.3","-2.3","0.3",1,2017
