"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","5.2","9.2","11.7","+1.3","7.0",10,2002
"2","2.1","4.5","6.6","-3.3","0.0",10,2002
"3","-0.8","2.3","7.1","-5.3","1.9",10,2002
"4","-2.5","0.8","4.2","-6.6","0.0",10,2002
"5","-1.4","2.9","7.5","-4.3","0.0",10,2002
"6","-0.5","1.8","3.4","-5.3","0.0",10,2002
"7","0.8","3.2","5.7","-3.7","0.0",10,2002
"8","0.6","2.4","4.6","-4.3","12.4",10,2002
"9","0.8","4.0","6.1","-2.5","3.5",10,2002
"10","0.3","1.9","4.2","-4.4","1.0",10,2002
"11","-1.2","0.1","1.4","-6.0","1.9",10,2002
"12","-0.2","0.8","2.0","-5.1","0.0",10,2002
"13","-1.7","-0.6","1.6","-6.3","0.0",10,2002
"14","-6.3","-1.5","2.7","-7.0","0.0",10,2002
"15","-5.6","-1.0","2.6","-6.3","0.0",10,2002
"16","-0.5","0.6","1.3","-4.5","5.0",10,2002
"17","1.0","4.5","7.0","-0.4","3.7",10,2002
"18","6.9","10.3","11.5","+5.6","19.7",10,2002
"19","4.5","9.4","12.2","+4.9","12.3",10,2002
"20","-1.5","2.1","4.8","-2.2","0.0",10,2002
"21","0.4","1.3","2.3","-2.7","4.2",10,2002
"22","-3.1","-0.6","0.5","-4.4","0.3",10,2002
"23","-6.5","-2.6","0.5","-6.2","6.2",10,2002
"24","0.4","1.6","3.2","-1.8","6.5",10,2002
"25","1.9","4.1","8.2","+1.0","5.9",10,2002
"26","0.5","1.3","2.4","-1.6","10.6",10,2002
"27","-0.6","1.6","3.2","-1.0","8.4",10,2002
"28","3.1","5.0","6.9","+2.6","2.8",10,2002
"29","4.7","6.1","7.1","+3.9","11.4",10,2002
"30","0.1","2.8","6.6","+0.9","6.2",10,2002
"31","-0.6","0.6","2.0","-1.1","0.8",10,2002
