"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","0.5","2.5","4.8","-0.6","0.0",4,2018
"2","2.1","4.2","7.8","+0.9","0.0",4,2018
"3","1.6","3.0","5.1","-0.6","2.0",4,2018
"4","-2.9","3.4","9.4","-0.4","0.0",4,2018
"5","-2.6","4.3","9.7","+0.2","0.0",4,2018
"6","3.4","8.2","14.6","+3.8","0.0",4,2018
"7","2.3","4.8","9.9","+0.2","1.0",4,2018
"8","-0.9","6.1","11.8","+1.2","0.0",4,2018
"9","2.9","10.8","18.5","+5.7","0.0",4,2018
"10","6.8","13.3","21.1","+7.9","0.6",4,2018
"11","0.3","3.4","6.8","-2.2","5.0",4,2018
"12","-3.4","3.8","10.3","-2.1","0.0",4,2018
"13","-1.6","5.1","10.7","-1.0","0.0",4,2018
"14","-1.6","6.2","12.8","-0.2","0.0",4,2018
"15","0.8","9.2","17.5","+2.6","0.0",4,2018
"16","3.2","12.3","20.3","+5.4","0.0",4,2018
"17","7.0","14.0","20.2","+6.9","4.0",4,2018
"18","6.8","10.6","16.3","+3.2","9.0",4,2018
"19","6.4","9.7","14.9","+2.1","6.0",4,2018
"20","6.0","10.5","14.7","+2.7","0.0",4,2018
"21","8.9","13.0","20.8","+4.9","3.0",4,2018
"22","1.6","3.0","10.0","-5.3","2.0",4,2018
"23","-0.5","3.5","7.5","-5.1","0.0",4,2018
"24","-2.7","5.5","12.9","-3.3","0.0",4,2018
"25","7.0","10.1","14.4","+1.1","3.4",4,2018
"26","5.2","8.9","14.0","-0.4","7.0",4,2018
"27","4.6","9.7","15.3","+0.2","0.0",4,2018
"28","3.3","9.0","13.6","-0.7","0.6",4,2018
"29","3.5","10.8","16.7","+0.8","0.0",4,2018
"30","6.9","15.6","23.7","+5.4","0.6",4,2018
