"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-1.0","2.0","4.1","+6.7","1.7",3,2008
"2","0.3","1.9","5.6","+6.4","14.3",3,2008
"3","0.1","0.9","3.3","+5.2","10.1",3,2008
"4","-0.3","0.7","3.0","+4.8","0.4",3,2008
"5","-2.8","-1.2","0.7","+2.7","0.6",3,2008
"6","-3.7","-0.8","2.6","+2.9","0.0",3,2008
"7","-1.4","0.7","2.5","+4.2","4.9",3,2008
"8","-0.4","0.7","1.5","+4.0","0.8",3,2008
"9","-0.3","1.3","3.5","+4.4","0.0",3,2008
"10","-2.3","-0.3","2.5","+2.6","0.0",3,2008
"11","-1.5","0.5","1.0","+3.1","0.0",3,2008
"12","-0.1","1.4","3.3","+3.8","2.4",3,2008
"13","3.2","5.1","6.3","+7.3","6.7",3,2008
"14","3.4","4.4","5.8","+6.4","0.0",3,2008
"15","-0.3","3.3","7.0","+5.0","0.0",3,2008
"16","0.2","2.1","4.5","+3.6","0.0",3,2008
"17","-1.5","1.1","3.9","+2.4","0.0",3,2008
"18","-1.2","1.4","3.4","+2.4","1.0",3,2008
"19","0.8","1.9","3.4","+2.7","1.1",3,2008
"20","-1.5","-0.1","2.2","+0.4","2.4",3,2008
"21","-3.7","-1.8","1.6","-1.5","0.7",3,2008
"22","-7.5","-1.2","3.9","-1.2","0.0",3,2008
"23","0.1","1.5","3.4","+1.3","3.2",3,2008
"24","0.1","3.0","5.4","+2.5","5.0",3,2008
"25","2.1","7.7","14.3","+7.0","0.5",3,2008
"26","2.7","6.1","12.3","+5.1","0.0",3,2008
"27","-2.1","2.0","5.7","+0.8","0.0",3,2008
"28","-1.5","2.7","6.5","+1.2","0.3",3,2008
"29","-2.5","2.8","7.8","+1.0","0.0",3,2008
"30","-3.0","3.5","10.0","+1.5","0.0",3,2008
"31","-3.3","3.6","9.5","+1.3","0.0",3,2008
