"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-14.5","-12.2","-10.2","-7.5","3.4",3,2005
"2","-14.5","-12.4","-7.4","-7.9","0.6",3,2005
"3","-18.4","-11.0","-4.5","-6.7","0.0",3,2005
"4","-13.0","-6.8","-1.3","-2.7","0.0",3,2005
"5","-13.3","-7.6","-2.6","-3.7","0.0",3,2005
"6","-8.9","-6.0","-3.2","-2.3","0.0",3,2005
"7","-6.3","-5.1","-4.0","-1.6","1.3",3,2005
"8","-4.9","-3.8","-2.0","-0.5","2.1",3,2005
"9","-8.0","-5.3","-1.7","-2.2","1.6",3,2005
"10","-8.3","-6.7","-5.1","-3.8","2.2",3,2005
"11","-11.6","-8.8","-6.2","-6.2","0.8",3,2005
"12","-11.4","-9.3","-7.0","-6.9","2.2",3,2005
"13","-7.7","-1.9","2.0","+0.3","3.0",3,2005
"14","-8.2","-3.7","-0.5","-1.7","0.9",3,2005
"15","-9.2","-5.0","0.1","-3.3","2.1",3,2005
"16","-12.0","-7.9","-3.5","-6.4","0.0",3,2005
"17","-15.7","-8.2","-1.8","-6.9","0.0",3,2005
"18","-6.8","-4.0","1.3","-3.0","9.2",3,2005
"19","-10.1","-8.3","-4.5","-7.5","1.7",3,2005
"20","-10.9","-9.5","-7.9","-9.0","1.5",3,2005
"21","-12.0","-8.3","-5.0","-8.0","0.4",3,2005
"22","-6.6","-3.3","0.7","-3.3","0.3",3,2005
"23","-5.2","-3.2","-0.3","-3.4","0.0",3,2005
"24","-12.6","-4.8","0.9","-5.3","0.0",3,2005
"25","-2.6","-0.9","1.1","-1.6","5.9",3,2005
"26","-0.1","1.8","4.4","+0.8","0.8",3,2005
"27","-5.6","-2.7","0.0","-3.9","0.0",3,2005
"28","-10.5","-7.0","-3.6","-8.5","0.0",3,2005
"29","-11.9","-7.7","-3.7","-9.5","0.0",3,2005
"30","-9.5","-5.6","-1.1","-7.6","0.0",3,2005
"31","-5.3","-1.7","2.0","-4.0","0.1",3,2005
