"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-0.9","3.2","8.0","+0.6","4.0",4,2009
"2","0.2","1.4","3.6","-1.5","2.8",4,2009
"3","-2.1","0.6","2.7","-2.5","7.3",4,2009
"4","-0.4","1.0","2.5","-2.4","0.4",4,2009
"5","-7.1","-0.4","3.7","-4.1","1.2",4,2009
"6","1.8","4.9","8.0","+0.9","0.0",4,2009
"7","0.2","2.7","5.3","-1.5","0.5",4,2009
"8","-4.3","0.0","3.5","-4.5","0.0",4,2009
"9","-6.2","-0.3","3.4","-5.0","0.0",4,2009
"10","-5.3","0.0","4.3","-5.0","0.0",4,2009
"11","-2.3","2.6","8.0","-2.7","0.0",4,2009
"12","0.4","6.3","12.4","+0.8","0.0",4,2009
"13","-2.3","6.7","14.4","+0.9","0.0",4,2009
"14","-1.3","7.4","14.9","+1.4","0.0",4,2009
"15","1.4","9.8","16.6","+3.5","0.0",4,2009
"16","-0.1","2.8","9.4","-3.7","0.9",4,2009
"17","-5.0","2.0","8.2","-4.7","0.0",4,2009
"18","1.7","4.0","6.5","-3.0","7.2",4,2009
"19","-2.3","0.2","4.0","-7.0","0.0",4,2009
"20","-2.0","1.8","5.4","-5.7","0.0",4,2009
"21","-1.6","0.2","3.4","-7.5","0.8",4,2009
"22","-4.0","0.6","5.5","-7.3","0.0",4,2009
"23","-2.5","3.8","9.8","-4.4","0.0",4,2009
"24","-0.4","6.5","12.0","-1.9","0.0",4,2009
"25","-0.4","8.9","15.2","+0.3","0.0",4,2009
"26","6.2","13.9","21.0","+5.1","0.0",4,2009
"27","9.2","16.4","23.0","+7.3","0.0",4,2009
"28","10.4","17.5","23.6","+8.2","0.0",4,2009
"29","11.7","18.8","25.4","+9.3","0.0",4,2009
"30","6.8","10.9","18.5","+1.2","0.0",4,2009
