"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","7.2","13.2","22.1","+5.3","0.0",10,2007
"2","6.0","13.3","22.0","+5.5","0.0",10,2007
"3","8.4","14.0","18.6","+6.4","0.0",10,2007
"4","8.4","12.1","16.5","+4.7","3.7",10,2007
"5","9.3","10.8","12.1","+3.6","3.1",10,2007
"6","8.9","9.9","11.5","+2.8","9.1",10,2007
"7","9.0","10.3","11.3","+3.4","7.5",10,2007
"8","8.7","10.3","11.5","+3.6","17.9",10,2007
"9","6.4","7.8","8.7","+1.3","4.8",10,2007
"10","5.1","7.2","9.7","+0.9","2.4",10,2007
"11","0.8","3.6","5.4","-2.5","2.7",10,2007
"12","-1.9","2.3","5.6","-3.6","0.0",10,2007
"13","5.0","6.8","8.5","+1.1","13.5",10,2007
"14","0.3","1.8","6.8","-3.7","25.6",10,2007
"15","0.2","0.4","1.1","-4.9","11.7",10,2007
"16","-1.2","0.3","1.5","-4.8","2.6",10,2007
"17","-0.2","5.3","10.4","+0.4","0.0",10,2007
"18","4.8","8.8","11.9","+4.1","0.0",10,2007
"19","7.3","8.4","11.2","+3.9","0.6",10,2007
"20","5.5","7.3","9.8","+3.0","3.0",10,2007
"21","5.0","9.6","11.8","+5.6","1.0",10,2007
"22","4.0","6.8","8.2","+3.0","0.0",10,2007
"23","6.6","8.1","10.6","+4.5","0.0",10,2007
"24","6.7","9.0","10.2","+5.6","0.0",10,2007
"25","4.7","6.1","7.6","+3.0","0.0",10,2007
"26","4.8","5.8","7.0","+2.9","0.0",10,2007
"27","1.5","4.6","7.0","+2.0","0.0",10,2007
"28","0.8","3.3","6.5","+0.9","0.0",10,2007
"29","1.8","2.9","5.1","+0.7","0.0",10,2007
"30","1.2","1.9","3.3","0.0","0.0",10,2007
"31","0.4","4.3","8.0","+2.6","0.0",10,2007
