"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","7.9","10.3","13.6","+2.4","0.6",10,2004
"2","4.0","7.6","10.7","-0.2","0.0",10,2004
"3","5.5","6.4","8.4","-1.2","0.3",10,2004
"4","3.5","4.8","6.1","-2.6","0.0",10,2004
"5","3.4","5.2","7.6","-2.0","0.0",10,2004
"6","5.0","8.9","13.7","+1.8","0.0",10,2004
"7","8.4","11.9","17.1","+5.0","0.0",10,2004
"8","9.2","11.0","13.5","+4.3","0.0",10,2004
"9","7.4","9.3","10.7","+2.8","4.2",10,2004
"10","2.6","5.4","7.6","-0.9","5.6",10,2004
"11","0.5","1.9","4.0","-4.2","0.0",10,2004
"12","0.3","1.9","3.7","-4.0","0.0",10,2004
"13","0.8","2.9","5.6","-2.8","0.0",10,2004
"14","4.1","5.0","6.3","-0.5","0.0",10,2004
"15","-2.0","1.8","8.3","-3.5","0.0",10,2004
"16","-3.5","1.4","8.1","-3.7","0.0",10,2004
"17","-1.0","3.6","9.0","-1.3","0.0",10,2004
"18","3.5","6.9","9.3","+2.2","11.5",10,2004
"19","5.5","7.2","8.7","+2.7","8.8",10,2004
"20","6.0","7.3","8.8","+3.0","11.4",10,2004
"21","5.3","6.2","7.2","+2.2","3.1",10,2004
"22","4.5","6.1","8.3","+2.3","0.0",10,2004
"23","3.9","4.9","6.2","+1.3","2.3",10,2004
"24","5.9","8.1","10.2","+4.7","4.6",10,2004
"25","3.7","4.3","6.1","+1.2","0.0",10,2004
"26","4.1","6.9","10.3","+4.0","1.5",10,2004
"27","9.4","10.5","12.6","+7.9","2.3",10,2004
"28","3.7","8.2","11.4","+5.8","2.7",10,2004
"29","-0.4","3.1","5.6","+0.9","0.3",10,2004
"30","2.0","2.9","4.6","+1.0","4.5",10,2004
"31","0.4","2.1","4.5","+0.4","19.8",10,2004
