"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-1.5","0.5","2.6","-2.6","2.2",4,2015
"2","0.1","2.6","5.8","-0.7","1.0",4,2015
"3","0.4","1.4","3.5","-2.2","14.0",4,2015
"4","0.2","2.4","5.8","-1.4","3.0",4,2015
"5","-0.1","2.3","3.9","-1.8","0.0",4,2015
"6","0.5","2.4","4.8","-2.0","0.2",4,2015
"7","1.3","3.9","8.5","-0.7","0.3",4,2015
"8","-3.1","4.5","11.2","-0.4","0.0",4,2015
"9","1.1","4.3","8.0","-0.8","0.0",4,2015
"10","2.6","6.9","11.6","+1.5","0.0",4,2015
"11","3.3","9.6","15.5","+4.0","0.0",4,2015
"12","-0.3","10.6","20.0","+4.7","0.0",4,2015
"13","4.7","10.1","15.2","+4.0","0.5",4,2015
"14","3.7","6.6","9.3","+0.2","2.0",4,2015
"15","1.9","4.4","8.2","-2.2","0.0",4,2015
"16","0.6","3.4","7.9","-3.5","6.0",4,2015
"17","2.7","4.9","8.6","-2.2","1.1",4,2015
"18","-0.7","3.9","8.8","-3.5","0.0",4,2015
"19","-2.5","0.0","2.6","-7.6","0.3",4,2015
"20","-2.2","-0.1","2.1","-7.9","2.0",4,2015
"21","0.1","3.5","8.3","-4.6","2.0",4,2015
"22","0.2","5.1","9.9","-3.2","0.0",4,2015
"23","4.6","6.9","11.3","-1.7","5.0",4,2015
"24","3.5","6.4","11.2","-2.4","0.0",4,2015
"25","3.8","6.9","10.9","-2.1","0.0",4,2015
"26","-0.3","8.3","14.9","-1.0","0.0",4,2015
"27","9.1","13.0","20.2","+3.5","3.7",4,2015
"28","6.6","15.6","24.4","+5.9","0.0",4,2015
"29","10.6","18.4","24.9","+8.4","0.3",4,2015
"30","8.8","13.0","17.2","+2.8","0.3",4,2015
