"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-2.9","0.9","5.0","-2.2","0.0",4,2017
"2","0.9","4.1","7.9","+0.8","0.7",4,2017
"3","0.7","3.4","6.4","-0.2","10.0",4,2017
"4","0.3","2.8","5.2","-1.0","0.3",4,2017
"5","2.5","6.8","12.6","+2.7","0.0",4,2017
"6","7.2","12.4","19.0","+8.0","0.0",4,2017
"7","8.2","10.3","14.1","+5.7","10.0",4,2017
"8","4.5","4.9","8.2","0.0","2.0",4,2017
"9","-0.4","4.1","9.2","-1.0","0.0",4,2017
"10","3.2","7.0","9.9","+1.6","0.0",4,2017
"11","4.8","11.5","19.6","+5.9","0.0",4,2017
"12","3.3","5.5","10.9","-0.4","6.0",4,2017
"13","0.6","4.0","6.5","-2.1","5.4",4,2017
"14","1.1","4.3","6.9","-2.1","0.8",4,2017
"15","-2.2","0.1","4.2","-6.5","0.0",4,2017
"16","-3.0","0.9","5.5","-6.0","4.0",4,2017
"17","-2.8","-0.7","1.6","-7.8","5.1",4,2017
"18","-4.3","-0.4","2.6","-7.8","0.0",4,2017
"19","-2.9","0.4","3.6","-7.2","0.0",4,2017
"20","-1.0","1.8","5.3","-6.0","0.0",4,2017
"21","-2.4","3.2","8.3","-4.9","0.0",4,2017
"22","3.7","5.6","9.8","-2.7","7.0",4,2017
"23","2.0","4.4","7.9","-4.2","0.6",4,2017
"24","-1.7","3.4","8.2","-5.4","2.0",4,2017
"25","-1.2","5.6","12.0","-3.4","0.0",4,2017
"26","6.2","10.4","18.9","+1.1","1.0",4,2017
"27","3.2","5.1","8.3","-4.4","11.0",4,2017
"28","2.6","4.9","7.0","-4.8","13.0",4,2017
"29","6.0","14.0","24.0","+4.0","0.0",4,2017
"30","10.6","18.6","24.5","+8.4","0.0",4,2017
