"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-1.8","-0.2","0.8","-2.1","2.0",11,2017
"2","-3.9","-2.4","0.3","-4.1","0.0",11,2017
"3","-7.1","-2.0","2.2","-3.4","0.0",11,2017
"4","-0.6","0.6","1.7","-0.6","0.0",11,2017
"5","1.6","3.4","5.2","+2.5","0.7",11,2017
"6","3.9","5.3","7.2","+4.6","0.0",11,2017
"7","4.4","5.1","5.9","+4.6","0.0",11,2017
"8","-1.3","1.6","5.4","+1.4","0.0",11,2017
"9","-3.1","0.0","4.5","0.0","0.0",11,2017
"10","-1.1","1.2","3.0","+1.4","2.0",11,2017
"11","1.9","4.0","5.3","+4.4","2.0",11,2017
"12","2.0","3.9","5.2","+4.6","2.6",11,2017
"13","-2.2","0.7","3.6","+1.6","0.0",11,2017
"14","-0.1","1.2","2.6","+2.3","18.0",11,2017
"15","0.5","1.4","2.2","+2.7","0.9",11,2017
"16","1.2","2.4","3.6","+3.9","5.0",11,2017
"17","1.0","1.7","2.2","+3.4","0.3",11,2017
"18","2.0","2.4","3.0","+4.2","0.0",11,2017
"19","0.7","1.5","2.4","+3.5","7.0",11,2017
"20","0.4","1.5","2.6","+3.7","2.0",11,2017
"21","-0.3","0.2","1.5","+2.6","1.4",11,2017
"22","-1.7","-0.7","0.1","+1.8","0.0",11,2017
"23","-3.7","-3.0","-1.7","-0.3","0.0",11,2017
"24","-5.1","-4.5","-3.5","-1.6","0.0",11,2017
"25","-5.9","-5.2","-4.3","-2.2","0.0",11,2017
"26","-7.4","-5.5","-4.0","-2.3","0.0",11,2017
"27","-4.7","-3.3","-1.7","0.0","0.0",11,2017
"28","-5.6","-3.1","-2.0","+0.4","2.0",11,2017
"29","-7.2","-5.0","-3.0","-1.4","0.0",11,2017
"30","-3.3","-2.3","-1.3","+1.4","0.5",11,2017
