"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","4.4","4.9","6.0","+8.8","1.1",12,2006
"2","2.1","4.4","5.8","+8.4","0.0",12,2006
"3","2.7","3.6","5.0","+7.7","0.0",12,2006
"4","3.1","4.3","5.2","+8.5","0.0",12,2006
"5","0.9","2.5","4.9","+6.8","1.2",12,2006
"6","1.2","3.7","6.8","+8.1","0.0",12,2006
"7","5.4","6.4","7.7","+11.0","0.0",12,2006
"8","4.2","4.6","5.8","+9.3","0.7",12,2006
"9","4.2","6.2","7.0","+11.0","0.0",12,2006
"10","4.9","5.6","7.0","+10.5","0.0",12,2006
"11","4.0","4.5","5.5","+9.5","0.0",12,2006
"12","3.5","4.4","5.2","+9.5","0.4",12,2006
"13","2.4","3.0","4.0","+8.2","0.5",12,2006
"14","1.5","2.6","4.0","+7.9","1.3",12,2006
"15","3.6","5.7","9.2","+11.0","6.0",12,2006
"16","4.5","5.5","6.3","+10.9","0.6",12,2006
"17","2.1","3.9","6.4","+9.4","1.1",12,2006
"18","-1.5","0.4","2.3","+6.0","0.4",12,2006
"19","-3.4","-2.2","0.9","+3.5","2.2",12,2006
"20","-9.1","-5.7","-1.7","+0.1","2.1",12,2006
"21","-12.4","-8.0","-3.0","-2.1","0.0",12,2006
"22","-3.2","0.0","1.1","+6.0","0.4",12,2006
"23","0.0","1.3","2.2","+7.4","1.4",12,2006
"24","-2.5","-0.6","0.8","+5.6","2.4",12,2006
"25","-7.0","-5.2","-2.3","+1.0","2.0",12,2006
"26","-8.5","-7.6","-6.8","-1.3","1.0",12,2006
"27","-7.7","-2.7","1.7","+3.7","1.5",12,2006
"28","-2.5","1.4","2.7","+7.9","2.8",12,2006
"29","-6.2","-4.8","-2.3","+1.8","0.8",12,2006
"30","-5.9","-3.3","-1.8","+3.4","2.1",12,2006
"31","-4.8","-2.2","0.3","+4.5","0.0",12,2006
