"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-17.8","-10.8","-3.7","-6.1","0.0",3,2006
"2","-9.7","-7.8","-5.6","-3.3","7.0",3,2006
"3","-10.1","-7.3","-5.0","-3.0","3.2",3,2006
"4","-14.0","-8.3","-1.5","-4.2","0.2",3,2006
"5","-9.3","-8.4","-6.6","-4.5","3.7",3,2006
"6","-9.0","-5.7","-0.8","-2.0","0.2",3,2006
"7","-14.8","-8.7","-3.6","-5.2","0.0",3,2006
"8","-12.7","-8.7","-4.0","-5.4","0.0",3,2006
"9","-16.6","-10.7","-4.8","-7.6","0.0",3,2006
"10","-17.0","-9.3","-2.3","-6.4","0.0",3,2006
"11","-9.1","-6.5","-4.0","-3.9","1.9",3,2006
"12","-5.4","-2.9","-1.0","-0.5","12.3",3,2006
"13","-1.1","1.1","2.8","+3.3","0.0",3,2006
"14","-0.8","0.3","2.3","+2.3","0.4",3,2006
"15","-5.1","-1.5","1.4","+0.2","0.0",3,2006
"16","-6.1","-0.5","4.4","+1.0","0.0",3,2006
"17","-8.4","-0.4","7.9","+0.9","0.0",3,2006
"18","-6.5","0.5","8.1","+1.5","0.0",3,2006
"19","-2.7","0.3","4.4","+1.1","1.4",3,2006
"20","-4.2","-1.8","0.5","-1.3","6.4",3,2006
"21","-10.0","-5.3","-0.2","-5.0","0.0",3,2006
"22","-6.5","-4.3","-2.4","-4.3","0.2",3,2006
"23","-13.1","-5.1","0.3","-5.3","0.0",3,2006
"24","-8.6","-5.0","-1.8","-5.5","0.0",3,2006
"25","-9.5","-3.6","1.9","-4.3","0.0",3,2006
"26","-7.3","-1.9","3.3","-2.9","0.0",3,2006
"27","-6.6","-2.6","1.5","-3.8","0.0",3,2006
"28","-10.9","-1.9","5.7","-3.4","0.0",3,2006
"29","1.5","3.1","5.7","+1.3","5.0",3,2006
"30","1.5","4.7","9.7","+2.7","0.4",3,2006
"31","2.5","3.7","5.8","+1.4","4.6",3,2006
