"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","15.8","24.2","31.4","+5.3","0.0",8,2012
"2","17.7","21.4","25.4","+2.6","0.0",8,2012
"3","13.4","21.0","27.8","+2.3","0.0",8,2012
"4","14.5","21.0","26.0","+2.4","0.1",8,2012
"5","17.6","22.4","29.8","+3.9","0.0",8,2012
"6","16.1","22.4","27.9","+4.0","0.0",8,2012
"7","18.8","25.4","32.5","+7.1","0.0",8,2012
"8","16.6","22.1","28.1","+3.9","0.0",8,2012
"9","13.5","19.4","25.0","+1.3","0.3",8,2012
"10","11.6","17.5","23.4","-0.5","6.3",8,2012
"11","13.6","16.4","21.7","-1.5","5.2",8,2012
"12","13.5","17.7","23.1","0.0","2.1",8,2012
"13","13.5","18.5","23.9","+0.9","0.0",8,2012
"14","13.5","15.8","20.2","-1.7","8.9",8,2012
"15","16.4","19.1","23.8","+1.8","4.0",8,2012
"16","14.3","17.6","21.2","+0.4","0.0",8,2012
"17","15.5","18.3","22.7","+1.3","3.5",8,2012
"18","15.5","17.4","20.2","+0.5","4.1",8,2012
"19","14.3","18.9","24.4","+2.2","0.0",8,2012
"20","11.7","16.1","20.0","-0.5","9.8",8,2012
"21","8.1","11.0","15.1","-5.4","0.0",8,2012
"22","5.5","12.5","19.7","-3.7","0.0",8,2012
"23","8.1","14.7","21.5","-1.3","0.8",8,2012
"24","12.3","15.7","18.8","-0.1","0.0",8,2012
"25","11.1","16.2","22.4","+0.5","0.0",8,2012
"26","13.7","16.2","21.4","+0.7","5.9",8,2012
"27","12.8","16.0","18.9","+0.7","0.4",8,2012
"28","14.4","15.5","17.0","+0.4","13.7",8,2012
"29","13.5","14.8","15.5","-0.1","19.6",8,2012
"30","10.9","13.2","17.5","-1.4","0.3",8,2012
"31","9.7","11.4","14.6","-3.0","0.0",8,2012
