"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","1.0","1.9","3.0","+6.6","1.3",3,2002
"2","-0.8","1.3","3.0","+5.8","3.3",3,2002
"3","-5.2","-3.6","-0.7","+0.7","0.8",3,2002
"4","-6.7","-3.3","-0.9","+0.8","0.0",3,2002
"5","-4.3","-0.8","3.0","+3.1","0.0",3,2002
"6","1.9","3.5","5.2","+7.2","0.1",3,2002
"7","4.0","6.2","9.0","+9.7","1.0",3,2002
"8","-4.2","-1.0","4.8","+2.3","3.4",3,2002
"9","-5.0","-2.5","1.6","+0.6","0.1",3,2002
"10","-1.5","3.6","8.2","+6.5","3.1",3,2002
"11","0.4","2.1","4.0","+4.7","2.8",3,2002
"12","1.9","5.4","9.2","+7.8","0.4",3,2002
"13","0.4","5.3","11.5","+7.5","1.1",3,2002
"14","1.1","5.2","9.5","+7.2","5.1",3,2002
"15","-2.9","-1.1","1.5","+0.6","0.5",3,2002
"16","-5.1","-0.8","4.3","+0.7","0.0",3,2002
"17","-4.4","1.9","8.6","+3.2","0.0",3,2002
"18","0.5","5.3","10.6","+6.3","0.0",3,2002
"19","1.5","6.6","11.4","+7.4","0.0",3,2002
"20","1.8","3.1","6.5","+3.6","0.9",3,2002
"21","0.8","2.6","5.5","+2.9","3.9",3,2002
"22","0.6","3.0","6.8","+3.0","0.0",3,2002
"23","0.6","3.9","8.5","+3.7","1.1",3,2002
"24","-1.2","1.4","3.2","+0.9","0.0",3,2002
"25","-5.2","-1.3","2.5","-2.0","0.0",3,2002
"26","-6.5","0.8","6.7","-0.2","0.0",3,2002
"27","-3.4","3.2","9.0","+2.0","0.0",3,2002
"28","1.2","2.9","5.5","+1.4","0.6",3,2002
"29","-1.2","5.7","14.0","+3.9","0.0",3,2002
"30","5.0","7.2","9.5","+5.2","0.0",3,2002
"31","-1.8","1.4","5.1","-0.9","0.0",3,2002
