"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","14.7","22.2","28.8","+3.6","0.0",7,2016
"2","16.1","23.2","28.9","+4.5","0.1",7,2016
"3","16.9","23.4","30.0","+4.6","0.0",7,2016
"4","17.3","22.5","29.5","+3.6","14.0",7,2016
"5","11.8","16.2","19.9","-2.7","2.0",7,2016
"6","12.6","16.8","21.6","-2.2","1.0",7,2016
"7","14.5","18.2","22.4","-0.9","9.0",7,2016
"8","11.7","14.1","17.9","-5.0","3.0",7,2016
"9","12.2","17.3","22.9","-1.9","0.0",7,2016
"10","13.2","18.5","23.1","-0.7","0.0",7,2016
"11","15.3","18.9","23.6","-0.4","2.0",7,2016
"12","16.6","20.7","26.3","+1.4","0.6",7,2016
"13","17.9","23.0","27.5","+3.6","0.0",7,2016
"14","17.8","20.2","25.2","+0.8","14.0",7,2016
"15","15.2","23.2","31.2","+3.8","0.0",7,2016
"16","19.6","23.6","28.1","+4.2","0.0",7,2016
"17","14.9","21.7","27.7","+2.3","0.0",7,2016
"18","16.5","20.7","26.1","+1.3","29.0",7,2016
"19","18.9","22.2","27.7","+2.8","2.3",7,2016
"20","19.4","21.4","25.4","+2.0","11.8",7,2016
"21","17.8","19.3","21.9","-0.1","2.0",7,2016
"22","13.6","17.7","22.1","-1.7","11.0",7,2016
"23","16.6","20.5","25.3","+1.1","5.0",7,2016
"24","17.9","22.7","28.6","+3.4","0.0",7,2016
"25","16.8","22.1","29.6","+2.8","0.0",7,2016
"26","16.9","21.7","28.9","+2.4","10.0",7,2016
"27","17.8","22.8","29.2","+3.6","5.0",7,2016
"28","17.3","22.4","27.5","+3.2","0.5",7,2016
"29","17.7","23.8","30.0","+4.7","0.0",7,2016
"30","18.3","24.7","30.8","+5.7","0.0",7,2016
"31","17.9","23.1","28.8","+4.1","0.0",7,2016
