"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-7.4","-4.5","-1.7","+3.2","0.0",2,2001
"2","-12.3","-8.1","-3.0","-0.4","13.2",2,2001
"3","-16.7","-13.0","-9.3","-5.3","2.6",2,2001
"4","-16.2","-10.7","-8.4","-3.0","13.4",2,2001
"5","-22.1","-16.0","-11.0","-8.4","0.9",2,2001
"6","-18.0","-15.2","-11.0","-7.6","0.3",2,2001
"7","-19.2","-16.1","-12.5","-8.6","0.0",2,2001
"8","-13.4","-6.5","-2.9","+0.9","14.3",2,2001
"9","-3.3","-1.0","1.4","+6.4","0.0",2,2001
"10","-0.5","1.2","2.3","+8.5","1.1",2,2001
"11","-9.4","-5.3","-0.5","+1.9","0.5",2,2001
"12","-10.7","-6.9","-3.9","+0.2","4.9",2,2001
"13","-3.9","0.3","1.5","+7.4","8.1",2,2001
"14","-8.0","-4.7","1.2","+2.3","0.0",2,2001
"15","-6.8","-0.9","1.5","+6.0","1.9",2,2001
"16","-1.3","0.9","2.6","+7.6","1.8",2,2001
"17","-5.4","-2.2","0.8","+4.4","0.4",2,2001
"18","-4.0","-2.5","-0.8","+4.0","1.6",2,2001
"19","-16.7","-9.8","-1.5","-3.4","1.0",2,2001
"20","-21.4","-16.6","-11.8","-10.4","0.0",2,2001
"21","-12.4","-7.2","-2.3","-1.1","3.0",2,2001
"22","-6.7","-5.5","-2.7","+0.4","5.2",2,2001
"23","-5.9","-3.7","-1.5","+2.1","3.0",2,2001
"24","-6.2","-4.1","-2.7","+1.5","1.4",2,2001
"25","-13.1","-11.7","-6.0","-6.2","1.5",2,2001
"26","-17.7","-12.8","-8.4","-7.5","0.3",2,2001
"27","-14.9","-10.0","-6.7","-4.9","3.8",2,2001
"28","-10.4","-8.8","-6.8","-3.9","7.0",2,2001
"29","","","","","",2,2001
