"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-11.4","-7.7","-3.6","-2.2","0.2",3,2006
"2","-7.5","-4.1","-1.5","+1.3","12.5",3,2006
"3","-7.0","-4.9","-3.1","+0.3","1.4",3,2006
"4","-8.1","-5.8","-3.0","-0.8","0.0",3,2006
"5","-7.3","-2.4","1.1","+2.4","5.3",3,2006
"6","-11.2","-6.8","-2.3","-2.2","0.7",3,2006
"7","-7.0","-6.1","-5.0","-1.7","10.8",3,2006
"8","-8.1","-6.5","-4.9","-2.4","1.0",3,2006
"9","-9.2","-6.8","-4.9","-2.9","0.0",3,2006
"10","-16.6","-10.5","-3.2","-6.8","0.0",3,2006
"11","-12.3","-7.3","-1.7","-3.9","0.0",3,2006
"12","-3.1","-1.2","2.0","+2.0","0.2",3,2006
"13","-2.2","-0.1","2.2","+2.8","0.0",3,2006
"14","-7.5","-3.7","-0.4","-1.1","0.0",3,2006
"15","-2.5","-0.1","3.3","+2.3","0.0",3,2006
"16","-3.5","-1.0","2.3","+1.1","0.0",3,2006
"17","-7.0","-2.1","2.9","-0.3","0.0",3,2006
"18","-10.5","-3.9","2.4","-2.4","0.0",3,2006
"19","-6.2","-1.7","2.3","-0.5","0.0",3,2006
"20","-2.2","0.7","2.0","+1.6","0.6",3,2006
"21","-6.0","-3.3","0.5","-2.7","0.0",3,2006
"22","-3.4","-1.5","-0.2","-1.3","0.7",3,2006
"23","-9.5","-4.6","0.3","-4.7","8.4",3,2006
"24","-4.5","-0.6","3.7","-1.0","22.4",3,2006
"25","-10.7","-4.8","0.7","-5.6","0.0",3,2006
"26","-2.5","0.0","2.6","-1.1","0.0",3,2006
"27","-5.7","-1.2","3.2","-2.7","0.0",3,2006
"28","-5.8","-2.0","2.0","-3.9","0.0",3,2006
"29","0.9","3.5","7.1","+1.3","0.0",3,2006
"30","2.8","5.7","9.5","+3.1","0.0",3,2006
"31","3.0","4.1","6.5","+1.1","1.8",3,2006
