"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","1.0","2.7","5.7","+0.4","0.0",11,2002
"2","0.1","2.4","3.7","+0.4","0.0",11,2002
"3","0.3","1.2","2.9","-0.6","27.0",11,2002
"4","-3.1","-0.8","1.7","-2.3","0.0",11,2002
"5","-5.2","-3.3","-2.1","-4.6","0.0",11,2002
"6","-9.1","-5.0","-2.0","-6.1","0.0",11,2002
"7","-8.7","-5.0","-0.4","-5.8","0.0",11,2002
"8","-6.5","-3.0","1.7","-3.6","0.0",11,2002
"9","0.9","2.4","4.0","+2.0","0.4",11,2002
"10","2.9","4.5","7.0","+4.3","2.3",11,2002
"11","0.4","1.1","2.9","+1.1","4.2",11,2002
"12","-2.1","-0.1","1.6","+0.2","0.4",11,2002
"13","-7.7","-3.3","0.9","-2.8","1.1",11,2002
"14","-5.7","-2.0","1.1","-1.3","0.4",11,2002
"15","0.9","4.2","6.0","+5.1","7.6",11,2002
"16","5.5","8.7","11.3","+9.8","0.5",11,2002
"17","8.6","9.7","10.6","+10.9","0.0",11,2002
"18","6.9","10.1","13.2","+11.5","0.0",11,2002
"19","2.1","6.5","11.1","+8.1","0.0",11,2002
"20","4.6","7.0","11.1","+8.8","0.0",11,2002
"21","5.1","6.1","8.8","+8.0","0.0",11,2002
"22","0.6","3.6","7.0","+5.7","0.0",11,2002
"23","4.6","5.5","7.1","+7.8","0.4",11,2002
"24","-2.5","0.7","4.6","+3.1","0.5",11,2002
"25","-3.6","-3.2","-2.3","-0.6","0.0",11,2002
"26","-4.2","-3.7","-3.1","-1.0","0.2",11,2002
"27","-4.9","-3.5","-1.5","-0.6","0.0",11,2002
"28","-1.5","1.3","3.8","+4.3","2.0",11,2002
"29","-5.5","-0.4","3.3","+2.8","0.0",11,2002
"30","-15.5","-13.0","-5.4","-9.7","0.0",11,2002
