"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-20.2","-16.2","-10.0","-12.8","0.0",12,2010
"2","-23.5","-21.3","-17.4","-17.7","0.0",12,2010
"3","-18.5","-11.9","-7.3","-8.2","0.0",12,2010
"4","-7.5","-3.6","0.6","+0.2","1.7",12,2010
"5","-0.7","0.3","0.5","+4.2","3.3",12,2010
"6","-7.3","-3.9","-0.6","+0.2","1.7",12,2010
"7","-8.0","-4.1","-0.7","+0.1","0.0",12,2010
"8","-1.4","-0.2","1.3","+4.1","4.4",12,2010
"9","1.1","2.1","3.7","+6.5","8.1",12,2010
"10","0.2","5.2","6.5","+9.7","4.6",12,2010
"11","-5.3","-3.8","0.2","+0.8","8.2",12,2010
"12","-6.6","-4.9","-1.5","-0.2","9.6",12,2010
"13","-4.8","-1.8","-0.2","+3.1","0.0",12,2010
"14","-5.6","-4.7","-3.7","+0.3","3.7",12,2010
"15","-5.1","-4.2","-3.3","+0.9","1.9",12,2010
"16","-5.8","-5.1","-3.7","+0.1","1.5",12,2010
"17","-10.0","-8.4","-4.8","-3.1","0.0",12,2010
"18","-7.7","-2.0","0.9","+3.4","16.4",12,2010
"19","-4.9","-2.8","0.1","+2.7","0.0",12,2010
"20","-6.6","-4.7","-1.4","+0.9","10.6",12,2010
"21","-6.6","-1.3","2.3","+4.4","0.0",12,2010
"22","-5.5","-3.3","1.8","+2.5","0.7",12,2010
"23","-2.3","0.2","0.6","+6.0","2.6",12,2010
"24","-0.8","0.0","1.5","+5.9","0.4",12,2010
"25","1.5","2.3","3.6","+8.3","3.4",12,2010
"26","1.0","2.0","3.1","+8.1","4.7",12,2010
"27","0.9","1.5","3.0","+7.7","0.3",12,2010
"28","0.1","0.4","0.9","+6.7","0.0",12,2010
"29","0.1","1.8","3.6","+8.2","26.8",12,2010
"30","-5.8","-4.5","1.0","+1.9","0.0",12,2010
"31","-6.8","-5.8","-3.4","+0.7","0.0",12,2010
