"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","20.7","23.6","28.0","+9.2","0.0",9,2006
"2","18.2","21.8","26.7","+7.6","0.0",9,2006
"3","17.2","21.8","28.1","+7.9","0.0",9,2006
"4","17.1","20.7","25.5","+7.0","0.0",9,2006
"5","15.8","19.3","23.9","+5.8","8.5",9,2006
"6","13.6","15.8","17.9","+2.5","4.3",9,2006
"7","12.2","15.9","20.9","+2.8","2.4",9,2006
"8","14.2","16.2","20.0","+3.3","1.8",9,2006
"9","12.3","17.4","23.4","+4.7","0.0",9,2006
"10","14.1","15.9","21.4","+3.5","2.9",9,2006
"11","10.1","12.1","15.6","-0.1","3.5",9,2006
"12","8.8","10.0","12.4","-2.0","3.1",9,2006
"13","5.1","8.9","13.5","-2.9","0.0",9,2006
"14","6.3","11.5","16.9","-0.1","0.0",9,2006
"15","6.5","11.1","15.8","-0.2","2.0",9,2006
"16","3.9","5.0","7.9","-6.1","0.4",9,2006
"17","1.4","4.3","9.3","-6.6","0.0",9,2006
"18","1.9","6.1","11.4","-4.6","3.4",9,2006
"19","10.3","12.2","16.7","+1.8","0.0",9,2006
"20","7.3","12.1","18.9","+1.9","0.0",9,2006
"21","8.5","13.9","20.9","+3.9","0.0",9,2006
"22","8.8","13.8","18.9","+4.0","0.0",9,2006
"23","10.3","12.9","16.2","+3.4","0.0",9,2006
"24","4.3","11.4","17.2","+2.1","0.0",9,2006
"25","9.9","15.8","22.2","+6.7","0.0",9,2006
"26","3.3","8.7","19.4","-0.2","0.0",9,2006
"27","-1.2","5.2","10.1","-3.4","0.0",9,2006
"28","6.6","9.9","14.1","+1.5","0.0",9,2006
"29","9.3","13.2","18.2","+5.0","0.0",9,2006
"30","11.7","13.2","16.9","+5.3","2.6",9,2006
