"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","10.2","16.3","20.7","+6.6","0.0",5,2002
"2","9.2","15.2","21.1","+5.2","0.0",5,2002
"3","8.1","15.5","22.0","+5.3","0.0",5,2002
"4","10.8","17.6","24.2","+7.1","0.0",5,2002
"5","12.3","18.8","25.1","+8.1","0.0",5,2002
"6","12.5","19.1","24.3","+8.1","0.0",5,2002
"7","6.5","11.6","22.6","+0.4","0.0",5,2002
"8","-0.1","5.2","11.5","-6.3","0.0",5,2002
"9","6.8","12.8","20.7","+1.1","0.0",5,2002
"10","11.6","14.5","20.5","+2.6","0.0",5,2002
"11","4.1","7.9","15.1","-4.3","0.0",5,2002
"12","0.6","3.7","7.5","-8.7","0.0",5,2002
"13","5.2","6.8","9.1","-5.8","2.7",5,2002
"14","0.1","3.5","7.8","-9.3","0.6",5,2002
"15","-0.9","5.3","11.7","-7.7","0.0",5,2002
"16","8.5","14.8","24.0","+1.6","1.6",5,2002
"17","14.3","19.2","23.7","+5.7","0.0",5,2002
"18","10.9","13.3","21.0","-0.4","12.8",5,2002
"19","9.6","11.1","13.0","-2.8","12.2",5,2002
"20","5.5","8.1","12.9","-6.0","0.0",5,2002
"21","1.1","3.8","9.3","-10.4","0.0",5,2002
"22","-0.1","3.6","9.4","-10.8","0.8",5,2002
"23","0.1","5.7","11.0","-8.9","0.0",5,2002
"24","2.1","6.0","10.2","-8.8","3.7",5,2002
"25","6.1","7.2","8.6","-7.8","7.8",5,2002
"26","1.1","5.1","8.6","-10.1","1.7",5,2002
"27","3.5","5.9","8.5","-9.4","0.8",5,2002
"28","3.4","6.0","10.7","-9.5","1.1",5,2002
"29","6.5","11.0","16.5","-4.7","0.0",5,2002
"30","0.6","6.4","12.1","-9.4","0.0",5,2002
"31","5.0","11.4","16.9","-4.6","0.0",5,2002
