"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","12.8","17.1","23.1","+7.1","0.0",5,2015
"2","10.0","16.2","22.9","+6.0","0.0",5,2015
"3","13.8","19.4","25.6","+8.9","0.0",5,2015
"4","13.8","19.3","23.8","+8.6","0.0",5,2015
"5","11.5","14.2","22.4","+3.2","0.0",5,2015
"6","3.6","9.1","14.6","-2.1","0.0",5,2015
"7","4.1","10.4","15.5","-1.1","0.0",5,2015
"8","5.4","11.6","16.7","-0.1","0.0",5,2015
"9","6.8","10.8","15.8","-1.1","0.0",5,2015
"10","5.9","11.8","17.3","-0.4","0.0",5,2015
"11","8.2","14.1","18.4","+1.7","0.0",5,2015
"12","10.4","15.1","18.9","+2.5","0.0",5,2015
"13","11.5","16.3","22.5","+3.5","0.5",5,2015
"14","10.2","16.3","22.6","+3.3","0.3",5,2015
"15","10.0","15.9","21.5","+2.7","0.0",5,2015
"16","11.0","15.2","19.6","+1.8","0.0",5,2015
"17","9.5","11.2","14.4","-2.5","3.0",5,2015
"18","6.1","8.9","11.5","-5.0","8.0",5,2015
"19","8.2","9.5","12.2","-4.5","10.5",5,2015
"20","8.5","12.0","19.3","-2.2","0.3",5,2015
"21","10.9","16.5","22.4","+2.1","0.0",5,2015
"22","13.9","19.2","25.3","+4.6","0.0",5,2015
"23","16.5","21.3","26.6","+6.5","0.0",5,2015
"24","15.6","18.8","24.1","+3.8","0.0",5,2015
"25","13.2","17.2","21.4","+2.1","2.0",5,2015
"26","13.0","18.2","24.7","+2.9","0.0",5,2015
"27","16.5","23.0","30.4","+7.5","0.0",5,2015
"28","17.9","23.6","28.2","+8.0","0.0",5,2015
"29","20.3","25.2","30.1","+9.4","0.0",5,2015
"30","19.4","25.6","32.1","+9.6","0.0",5,2015
"31","20.5","26.0","32.5","+9.9","0.0",5,2015
