"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","0.4","0.9","1.3","+11.8","1.0",2,2016
"2","-1.9","-0.3","1.7","+10.6","0.0",2,2016
"3","-4.2","-2.5","0.1","+8.5","0.3",2,2016
"4","-0.1","1.1","2.1","+12.1","2.0",2,2016
"5","-2.2","0.0","1.9","+10.9","0.0",2,2016
"6","-6.3","-3.1","-0.3","+7.8","0.0",2,2016
"7","-4.4","-3.0","-1.5","+7.9","0.2",2,2016
"8","-9.0","-5.6","-2.2","+5.3","2.0",2,2016
"9","-6.9","-4.0","-0.7","+6.8","0.0",2,2016
"10","-4.9","-2.9","-1.1","+7.9","0.0",2,2016
"11","-7.9","-4.7","-1.6","+6.0","0.0",2,2016
"12","-8.3","-6.5","-3.4","+4.1","0.0",2,2016
"13","-10.9","-7.7","-1.0","+2.8","0.0",2,2016
"14","-10.1","-7.9","-5.7","+2.6","0.0",2,2016
"15","-8.5","-6.3","-4.5","+4.1","0.2",2,2016
"16","-5.4","-3.3","-0.6","+6.9","1.0",2,2016
"17","-2.7","-1.2","0.6","+8.9","8.4",2,2016
"18","-2.6","-1.8","-1.1","+8.2","0.3",2,2016
"19","-1.9","-1.2","1.1","+8.7","0.0",2,2016
"20","-8.6","-3.2","0.5","+6.5","0.0",2,2016
"21","-7.8","-5.1","-1.4","+4.4","2.0",2,2016
"22","-6.2","-4.4","-3.4","+5.0","1.7",2,2016
"23","-4.2","-0.4","4.6","+8.8","9.5",2,2016
"24","1.0","1.7","3.4","+10.7","15.0",2,2016
"25","0.2","0.6","1.7","+9.4","7.0",2,2016
"26","0.3","0.7","1.5","+9.3","1.0",2,2016
"27","-4.1","-1.0","1.1","+7.4","0.0",2,2016
"28","-2.2","0.1","1.7","+8.3","8.0",2,2016
"29","-9.1","-5.9","-2.2","+2.2","0.0",2,2016
