"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-4.1","-3.8","-3.0","+5.7","0.4",1,2017
"2","-4.6","-3.7","-2.4","+5.8","2.0",1,2017
"3","-2.4","-0.1","0.8","+9.5","2.2",1,2017
"4","-9.5","-3.3","0.3","+6.3","3.0",1,2017
"5","-10.7","-8.0","-5.1","+1.6","3.0",1,2017
"6","-5.0","-1.5","-0.7","+8.1","19.0",1,2017
"7","-5.2","-3.5","-0.8","+6.2","5.0",1,2017
"8","-7.9","-4.0","-1.2","+5.7","5.0",1,2017
"9","-10.8","-9.3","-7.8","+0.4","0.0",1,2017
"10","-10.8","-10.0","-8.8","-0.3","0.9",1,2017
"11","-9.8","-8.2","-6.7","+1.6","0.0",1,2017
"12","-12.3","-9.3","-7.1","+0.5","0.0",1,2017
"13","-13.6","-8.9","-6.6","+0.9","0.3",1,2017
"14","-13.0","-11.4","-6.9","-1.6","0.5",1,2017
"15","-17.6","-15.4","-12.9","-5.5","0.5",1,2017
"16","-19.8","-16.9","-13.2","-7.0","0.0",1,2017
"17","-16.5","-14.1","-10.8","-4.2","0.0",1,2017
"18","-17.5","-14.9","-12.4","-5.0","0.2",1,2017
"19","-14.2","-10.8","-8.4","-0.8","0.6",1,2017
"20","-9.2","-7.8","-6.1","+2.2","2.2",1,2017
"21","-9.6","-7.4","-5.1","+2.6","0.3",1,2017
"22","-12.6","-9.1","-6.8","+1.0","0.7",1,2017
"23","-11.6","-9.1","-6.0","+1.0","0.5",1,2017
"24","-11.0","-4.9","-0.7","+5.2","2.0",1,2017
"25","-8.4","-3.6","-1.3","+6.5","3.8",1,2017
"26","-18.4","-16.3","-8.4","-6.1","2.0",1,2017
"27","-19.1","-17.9","-15.5","-7.7","1.7",1,2017
"28","-21.4","-17.9","-15.6","-7.7","1.1",1,2017
"29","-24.9","-19.9","-14.0","-9.6","0.0",1,2017
"30","-21.5","-17.0","-11.8","-6.7","0.0",1,2017
"31","-19.8","-15.9","-8.7","-5.6","0.0",1,2017
