"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-8.7","-6.3","-4.8","+3.9","0.0",1,2006
"2","-15.8","-13.1","-5.0","-2.8","0.0",1,2006
"3","-17.9","-16.0","-13.0","-5.6","0.0",1,2006
"4","-17.0","-15.7","-13.8","-5.3","0.0",1,2006
"5","-17.0","-15.1","-10.9","-4.6","0.0",1,2006
"6","-21.6","-18.5","-14.6","-7.9","0.0",1,2006
"7","-21.7","-18.6","-15.8","-7.9","0.4",1,2006
"8","-16.2","-13.7","-10.7","-2.9","0.6",1,2006
"9","-17.1","-14.3","-10.8","-3.5","0.0",1,2006
"10","-11.3","-7.2","-1.6","+3.7","0.0",1,2006
"11","-3.9","-3.0","-2.4","+8.0","0.2",1,2006
"12","-4.1","-2.9","-2.0","+8.1","2.6",1,2006
"13","-4.6","-3.1","-1.5","+8.0","0.0",1,2006
"14","-3.0","-1.8","0.1","+9.4","0.4",1,2006
"15","-14.5","-10.1","-1.7","+1.1","0.4",1,2006
"16","-31.6","-21.4","-14.2","-10.2","0.6",1,2006
"17","-34.5","-32.7","-30.2","-21.4","0.0",1,2006
"18","-31.6","-29.1","-24.7","-17.8","0.0",1,2006
"19","-27.2","-25.5","-21.6","-14.1","0.0",1,2006
"20","-31.4","-29.0","-25.5","-17.6","0.0",1,2006
"21","-28.4","-25.3","-21.7","-13.9","0.0",1,2006
"22","-22.9","-20.4","-17.4","-9.0","3.7",1,2006
"23","-20.1","-18.2","-16.4","-6.7","1.0",1,2006
"24","-22.9","-20.9","-17.4","-9.4","0.2",1,2006
"25","-29.8","-25.5","-22.0","-14.0","0.0",1,2006
"26","-27.3","-24.0","-21.0","-12.5","1.0",1,2006
"27","-21.2","-16.6","-12.5","-5.1","0.9",1,2006
"28","-17.3","-15.2","-12.7","-3.7","0.2",1,2006
"29","-15.5","-14.0","-12.0","-2.5","2.4",1,2006
"30","-17.3","-15.3","-13.0","-3.8","1.9",1,2006
"31","-13.3","-7.7","-5.3","+3.8","7.1",1,2006
