"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","8.6","14.8","22.3","-1.3","0.0",9,2007
"2","11.7","16.6","24.0","+0.7","0.0",9,2007
"3","10.3","17.0","23.4","+1.3","0.0",9,2007
"4","14.3","16.7","20.8","+1.2","6.8",9,2007
"5","16.3","19.0","23.1","+3.7","3.8",9,2007
"6","11.4","16.4","20.8","+1.3","0.0",9,2007
"7","10.7","15.9","22.1","+1.0","0.0",9,2007
"8","14.6","22.0","30.6","+7.3","0.0",9,2007
"9","21.3","24.3","27.8","+9.9","0.0",9,2007
"10","14.4","17.1","25.0","+2.9","0.0",9,2007
"11","9.2","12.3","14.4","-1.7","8.8",9,2007
"12","7.2","10.1","13.0","-3.7","0.0",9,2007
"13","4.5","10.1","17.5","-3.5","0.0",9,2007
"14","8.8","13.5","20.6","+0.2","0.4",9,2007
"15","10.0","11.4","14.8","-1.7","10.8",9,2007
"16","10.2","12.2","16.4","-0.7","2.3",9,2007
"17","9.3","11.2","14.4","-1.4","13.2",9,2007
"18","4.7","10.3","16.4","-2.1","0.3",9,2007
"19","10.3","12.3","14.3","+0.1","0.7",9,2007
"20","10.5","13.5","19.4","+1.6","0.0",9,2007
"21","9.9","14.4","21.4","+2.7","0.0",9,2007
"22","10.0","15.8","21.6","+4.4","0.0",9,2007
"23","12.5","16.1","22.7","+4.9","0.0",9,2007
"24","10.6","15.7","23.0","+4.8","0.0",9,2007
"25","12.7","16.0","20.6","+5.3","0.0",9,2007
"26","9.0","14.1","20.6","+3.7","0.0",9,2007
"27","9.0","14.7","21.4","+4.5","0.0",9,2007
"28","7.5","14.1","21.0","+4.2","0.0",9,2007
"29","11.0","14.8","21.2","+5.2","0.0",9,2007
"30","8.8","12.5","16.7","+3.1","0.0",9,2007
