"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","16.4","21.8","26.6","+0.6","0.0",7,2011
"2","19.2","24.3","29.0","+3.1","0.0",7,2011
"3","21.0","26.3","30.9","+5.0","0.0",7,2011
"4","20.0","27.2","32.6","+5.9","0.0",7,2011
"5","22.1","26.8","33.0","+5.4","0.3",7,2011
"6","20.0","26.4","31.3","+5.0","0.3",7,2011
"7","21.0","27.4","32.0","+5.9","0.0",7,2011
"8","23.5","29.2","35.8","+7.7","2.2",7,2011
"9","19.8","25.5","31.2","+3.9","1.2",7,2011
"10","18.8","21.6","29.3","0.0","0.0",7,2011
"11","16.4","19.3","22.9","-2.3","0.0",7,2011
"12","13.4","19.1","24.5","-2.5","0.0",7,2011
"13","15.0","22.2","27.7","+0.6","0.0",7,2011
"14","16.0","22.8","30.1","+1.1","0.0",7,2011
"15","19.0","24.1","28.6","+2.4","0.0",7,2011
"16","16.3","22.1","26.5","+0.4","0.0",7,2011
"17","14.8","22.6","27.7","+0.9","0.0",7,2011
"18","19.4","24.8","30.4","+3.1","0.0",7,2011
"19","19.0","25.9","32.4","+4.2","0.0",7,2011
"20","20.7","26.6","32.0","+5.0","0.0",7,2011
"21","20.7","25.4","29.8","+3.8","0.0",7,2011
"22","17.7","23.0","28.2","+1.4","0.0",7,2011
"23","18.2","23.5","29.0","+1.9","0.0",7,2011
"24","22.1","26.9","32.0","+5.4","0.0",7,2011
"25","22.5","28.5","32.4","+7.0","0.0",7,2011
"26","24.3","29.7","36.6","+8.2","0.0",7,2011
"27","21.0","26.0","30.7","+4.6","2.8",7,2011
"28","21.0","26.6","33.0","+5.2","0.0",7,2011
"29","21.4","27.9","34.1","+6.6","1.4",7,2011
"30","20.0","25.2","31.2","+3.9","0.7",7,2011
"31","19.0","24.8","30.3","+3.6","0.0",7,2011
