"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","6.2","12.5","19.5","-3.6","0.0",9,2010
"2","11.1","18.8","28.7","+2.9","0.0",9,2010
"3","19.4","23.8","29.6","+8.1","0.0",9,2010
"4","14.2","20.9","26.7","+5.4","0.0",9,2010
"5","13.0","17.2","22.8","+1.9","0.0",9,2010
"6","11.7","15.7","19.2","+0.6","0.0",9,2010
"7","7.8","10.8","14.3","-4.1","0.0",9,2010
"8","4.6","9.7","15.3","-5.0","0.0",9,2010
"9","6.1","12.4","17.6","-2.0","0.0",9,2010
"10","9.9","14.1","18.6","-0.1","0.0",9,2010
"11","6.3","12.2","18.0","-1.8","0.0",9,2010
"12","9.6","15.1","20.4","+1.3","0.0",9,2010
"13","11.2","14.2","18.2","+0.6","6.5",9,2010
"14","7.6","12.7","17.9","-0.6","0.0",9,2010
"15","6.6","12.8","20.0","-0.3","0.0",9,2010
"16","7.8","14.6","23.3","+1.7","0.0",9,2010
"17","9.2","17.8","25.4","+5.2","0.0",9,2010
"18","15.6","20.1","25.0","+7.7","0.0",9,2010
"19","12.5","19.5","26.0","+7.3","0.0",9,2010
"20","13.6","20.2","26.6","+8.3","0.0",9,2010
"21","12.7","20.4","26.3","+8.7","0.0",9,2010
"22","13.6","18.1","25.3","+6.7","0.0",9,2010
"23","14.7","17.2","23.5","+6.0","2.1",9,2010
"24","8.1","11.6","14.8","+0.7","7.2",9,2010
"25","9.0","11.4","13.2","+0.7","0.8",9,2010
"26","7.0","12.8","19.4","+2.4","0.0",9,2010
"27","8.7","13.3","19.9","+3.1","0.0",9,2010
"28","9.4","15.2","21.3","+5.3","0.0",9,2010
"29","13.4","17.0","21.1","+7.4","12.0",9,2010
"30","4.4","8.6","14.3","-0.8","3.2",9,2010
