"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","3.6","8.7","12.9","-0.4","7.8",10,2009
"2","1.0","7.0","13.0","-1.8","0.0",10,2009
"3","8.9","11.0","12.2","+2.4","0.4",10,2009
"4","3.2","7.9","12.5","-0.4","0.0",10,2009
"5","4.6","8.1","12.0","+0.1","1.0",10,2009
"6","7.6","10.3","13.5","+2.6","12.6",10,2009
"7","1.9","6.1","10.2","-1.4","0.0",10,2009
"8","4.3","7.9","11.4","+0.7","0.0",10,2009
"9","10.2","12.7","17.4","+5.8","0.0",10,2009
"10","4.7","9.0","13.6","+2.3","12.6",10,2009
"11","-0.7","3.8","10.5","-2.6","0.0",10,2009
"12","2.0","5.5","10.4","-0.6","0.0",10,2009
"13","5.7","10.7","18.4","+4.9","0.0",10,2009
"14","8.7","14.7","20.6","+9.1","0.0",10,2009
"15","9.9","14.0","19.7","+8.7","0.0",10,2009
"16","8.6","12.8","17.7","+7.8","0.0",10,2009
"17","7.0","12.5","18.5","+7.8","0.0",10,2009
"18","7.0","12.0","18.4","+7.5","0.0",10,2009
"19","6.5","13.6","20.6","+9.4","0.0",10,2009
"20","9.9","14.3","18.0","+10.4","0.0",10,2009
"21","6.1","8.1","13.3","+4.5","0.0",10,2009
"22","6.3","7.9","11.0","+4.5","0.0",10,2009
"23","1.0","3.8","7.2","+0.7","0.0",10,2009
"24","4.4","6.0","7.6","+3.2","7.8",10,2009
"25","0.4","4.0","7.1","+1.5","4.0",10,2009
"26","-4.0","-1.0","3.0","-3.3","0.0",10,2009
"27","-3.0","-0.2","3.2","-2.2","0.0",10,2009
"28","0.2","2.8","6.7","+1.1","0.0",10,2009
"29","-1.4","1.3","4.0","-0.1","7.4",10,2009
"30","3.0","4.5","6.6","+3.4","9.4",10,2009
"31","-0.8","0.5","3.7","-0.4","0.7",10,2009
