"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","15.2","20.6","25.7","+2.4","0.0",8,"2018"
"2","15.5","17.5","20.6","-0.6","3.0",8,"2018"
"3","14.7","19.5","27.0","+1.6","7.0",8,"2018"
"4","7.8","13.9","20.4","-3.9","0.3",8,"2018"
"5","10.0","16.4","22.6","-1.3","0.0",8,"2018"
"6","13.9","18.5","25.6","+0.9","2.0",8,"2018"
"7","16.4","21.8","27.3","+4.4","0.0",8,"2018"
"8","15.8","19.6","25.1","+2.3","13.0",8,"2018"
"9","11.4","13.7","18.4","-3.5","24.0",8,"2018"
"10","10.2","13.9","19.6","-3.1","16.0",8,"2018"
"11","14.9","17.9","21.9","+1.0","0.5",8,"2018"
"12","11.5","16.9","21.8","+0.2","0.0",8,"2018"
"13","16.9","22.2","28.2","+5.6","0.0",8,"2018"
"14","16.3","19.2","24.8","+2.8","0.0",8,"2018"
"15","14.3","17.1","21.1","+0.9","1.5",8,"2018"
"16","11.7","17.1","23.0","+1.0","0.0",8,"2018"
"17","12.5","15.5","18.6","-0.4","1.4",8,"2018"
"18","8.2","12.2","15.9","-3.5","0.0",8,"2018"
"19","9.4","12.5","16.0","-3.0","0.0",8,"2018"
"20","8.3","13.0","18.2","-2.3","0.0",8,"2018"
"21","8.8","14.4","19.7","-0.8","0.0",8,"2018"
"22","13.7","17.4","23.4","+2.4","0.0",8,"2018"
"23","11.1","13.5","20.9","-1.3","8.0",8,"2018"
"24","8.7","10.3","12.2","-4.3","0.3",8,"2018"
"25","10.0","12.5","16.2","-1.9","2.0",8,"2018"
"26","13.5","15.8","18.7","+1.6","0.0",8,"2018"
"27","8.9","12.3","16.6","-1.6","2.3",8,"2018"
"28","10.3","15.2","21.7","+1.5","0.0",8,"2018"
"29","12.3","17.7","24.3","+4.2","0.0",8,"2018"
"30","12.8","16.0","21.1","+2.7","0.0",8,"2018"
"31","6.0","10.8","15.2","-2.3","0.0",8,"2018"
