"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","3.9","6.5","10.2","-8.0","0.0",6,2002
"2","5.6","8.6","13.8","-6.1","3.5",6,2002
"3","4.4","9.7","14.2","-5.3","0.0",6,2002
"4","5.4","9.6","13.2","-5.6","5.2",6,2002
"5","6.9","10.8","15.5","-4.6","0.0",6,2002
"6","5.0","10.8","15.1","-4.7","0.0",6,2002
"7","5.2","10.4","18.1","-5.3","1.2",6,2002
"8","7.6","8.7","11.5","-7.2","24.6",6,2002
"9","8.3","10.0","12.9","-6.1","2.1",6,2002
"10","9.4","12.1","16.1","-4.2","2.0",6,2002
"11","9.9","10.9","13.7","-5.5","18.5",6,2002
"12","10.0","13.0","16.9","-3.6","1.2",6,2002
"13","5.6","13.9","21.8","-2.8","0.0",6,2002
"14","9.3","18.4","25.1","+1.5","0.0",6,2002
"15","13.0","20.6","27.3","+3.6","5.9",6,2002
"16","14.9","21.4","26.8","+4.2","0.0",6,2002
"17","15.2","17.4","24.9","+0.1","2.1",6,2002
"18","11.7","17.9","24.2","+0.5","0.0",6,2002
"19","14.4","17.0","21.6","-0.6","1.7",6,2002
"20","14.5","17.9","23.3","+0.2","0.4",6,2002
"21","13.8","18.9","24.4","+1.1","0.0",6,2002
"22","11.0","16.2","22.4","-1.7","5.6",6,2002
"23","10.5","17.7","24.0","-0.3","0.3",6,2002
"24","14.4","16.7","19.3","-1.4","0.0",6,2002
"25","11.7","16.3","20.3","-1.9","0.0",6,2002
"26","11.9","14.1","18.8","-4.1","0.1",6,2002
"27","9.6","10.9","12.5","-7.4","19.6",6,2002
"28","9.8","12.2","15.3","-6.2","0.4",6,2002
"29","9.8","13.3","21.0","-5.2","1.4",6,2002
"30","11.7","15.5","20.3","-3.0","0.0",6,2002
