"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-37.4","-35.5","-33.2","-19.9","0.0",2,2006
"2","-37.4","-34.4","-29.9","-18.9","0.0",2,2006
"3","-34.7","-32.6","-29.1","-17.1","0.0",2,2006
"4","-31.2","-26.7","-23.4","-11.3","2.8",2,2006
"5","-30.5","-25.9","-22.8","-10.6","1.4",2,2006
"6","-35.8","-31.5","-24.9","-16.3","0.0",2,2006
"7","-30.0","-22.6","-6.9","-7.5","1.3",2,2006
"8","-7.1","-4.3","-2.8","+10.7","0.7",2,2006
"9","-13.2","-10.3","-5.8","+4.6","0.0",2,2006
"10","-10.4","-5.8","2.9","+8.9","0.3",2,2006
"11","-10.8","-3.4","3.6","+11.2","4.3",2,2006
"12","-17.0","-15.0","-10.8","-0.5","0.4",2,2006
"13","-17.1","-16.1","-14.6","-1.8","0.2",2,2006
"14","-15.4","-13.9","-11.9","+0.3","2.3",2,2006
"15","-12.0","-10.4","-7.5","+3.6","0.7",2,2006
"16","-7.6","-4.3","-0.6","+9.5","0.0",2,2006
"17","-8.7","-3.2","1.0","+10.4","0.0",2,2006
"18","-10.6","-5.6","-1.3","+7.8","0.2",2,2006
"19","-20.2","-15.2","-10.4","-2.0","0.0",2,2006
"20","-18.8","-15.9","-12.1","-2.9","0.9",2,2006
"21","-17.5","-14.4","-11.6","-1.6","0.2",2,2006
"22","-24.4","-19.9","-14.4","-7.3","0.0",2,2006
"23","-25.7","-21.6","-16.3","-9.3","0.2",2,2006
"24","-27.9","-21.0","-9.7","-8.9","0.0",2,2006
"25","-25.1","-18.0","-8.0","-6.2","0.0",2,2006
"26","-18.6","-10.0","-2.6","+1.6","0.0",2,2006
"27","-7.9","-6.6","-4.2","+4.7","0.4",2,2006
"28","-13.3","-9.5","-3.2","+1.5","0.0",2,2006
"29","","","","","",2,2006
