"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-23.7","-17.9","-14.3","-7.2","2.3",12,2010
"2","-24.3","-12.8","-1.3","-1.9","1.2",12,2010
"3","-15.9","-8.1","-0.1","+2.9","2.2",12,2010
"4","-21.0","-17.4","-13.8","-6.2","1.7",12,2010
"5","-15.3","-11.7","-9.6","-0.4","2.0",12,2010
"6","-9.6","-8.2","-7.6","+3.3","9.8",12,2010
"7","-8.8","-6.7","-5.7","+4.9","3.7",12,2010
"8","-14.9","-9.1","-5.1","+2.7","4.4",12,2010
"9","-26.9","-23.8","-14.9","-11.9","0.5",12,2010
"10","-36.1","-33.0","-26.8","-21.0","0.0",12,2010
"11","-36.4","-34.0","-31.6","-21.8","0.0",12,2010
"12","-40.4","-38.0","-35.2","-25.7","0.0",12,2010
"13","-39.1","-37.3","-34.7","-24.8","0.0",12,2010
"14","-37.8","-27.1","-15.3","-14.5","0.0",12,2010
"15","-15.3","-12.6","-9.9","+0.1","0.7",12,2010
"16","-11.0","-8.1","-3.5","+4.8","0.6",12,2010
"17","-10.5","-8.4","-4.8","+4.6","2.1",12,2010
"18","-15.9","-13.6","-10.5","-0.5","0.3",12,2010
"19","-22.7","-18.8","-15.7","-5.6","2.3",12,2010
"20","-29.8","-25.9","-22.2","-12.5","0.4",12,2010
"21","-37.3","-34.7","-29.8","-21.2","0.2",12,2010
"22","-40.3","-38.3","-36.3","-24.7","0.0",12,2010
"23","-36.8","-33.3","-27.3","-19.6","0.0",12,2010
"24","-30.7","-16.0","-9.5","-2.1","0.0",12,2010
"25","-12.0","-9.6","-8.3","+4.4","0.7",12,2010
"26","-24.8","-21.4","-12.0","-7.3","0.0",12,2010
"27","-29.8","-26.7","-23.2","-12.5","0.2",12,2010
"28","-23.4","-20.1","-18.4","-5.8","1.1",12,2010
"29","-29.3","-26.2","-18.9","-11.7","0.3",12,2010
"30","-31.8","-28.9","-22.3","-14.3","0.3",12,2010
"31","-27.4","-25.7","-22.3","-11.0","0.0",12,2010
