"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","10.1","12.2","18.4","0.0","3.9",9,2001
"2","9.2","10.5","12.4","-1.5","24.6",9,2001
"3","10.5","13.6","18.5","+1.9","4.8",9,2001
"4","10.0","14.5","20.5","+3.0","0.0",9,2001
"5","6.5","11.2","16.3","-0.1","1.3",9,2001
"6","9.7","11.9","13.6","+0.9","2.0",9,2001
"7","6.8","11.2","16.4","+0.4","0.0",9,2001
"8","8.4","11.0","15.0","+0.5","0.0",9,2001
"9","11.4","13.1","14.6","+2.8","8.9",9,2001
"10","8.7","11.3","15.4","+1.2","4.5",9,2001
"11","7.8","9.1","10.3","-0.7","0.8",9,2001
"12","6.4","8.1","12.4","-1.5","0.0",9,2001
"13","4.9","6.7","9.1","-2.6","0.6",9,2001
"14","5.6","6.7","9.1","-2.4","13.9",9,2001
"15","4.8","5.7","6.2","-3.2","3.7",9,2001
"16","3.3","5.6","9.2","-3.0","1.4",9,2001
"17","-1.7","3.8","12.1","-4.6","0.0",9,2001
"18","-1.8","5.8","15.1","-2.4","0.0",9,2001
"19","0.4","6.8","14.7","-1.2","0.0",9,2001
"20","8.2","10.9","15.3","+3.2","0.6",9,2001
"21","5.0","8.4","10.7","+0.9","4.7",9,2001
"22","5.0","7.7","11.0","+0.4","0.0",9,2001
"23","7.0","8.5","10.7","+1.5","14.0",9,2001
"24","6.1","10.0","15.6","+3.2","6.3",9,2001
"25","4.6","8.2","14.9","+1.6","4.3",9,2001
"26","8.0","12.4","18.0","+6.0","0.6",9,2001
"27","10.0","13.0","17.0","+6.8","1.6",9,2001
"28","12.0","15.7","21.4","+9.8","0.0",9,2001
"29","5.0","11.1","18.0","+5.4","0.0",9,2001
"30","0.8","1.7","5.0","-3.8","0.0",9,2001
