"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","5.0","10.0","16.6","+4.7","4.7",10,2004
"2","11.2","13.1","15.9","+8.0","0.0",10,2004
"3","10.0","13.4","18.7","+8.6","1.8",10,2004
"4","9.3","12.0","17.4","+7.4","4.0",10,2004
"5","9.0","16.4","18.5","+12.0","0.3",10,2004
"6","14.5","16.1","18.8","+12.0","0.0",10,2004
"7","5.7","10.6","14.9","+6.7","0.8",10,2004
"8","2.6","6.0","10.1","+2.3","0.3",10,2004
"9","1.5","2.8","5.5","-0.6","2.8",10,2004
"10","3.5","4.5","6.0","+1.3","5.5",10,2004
"11","5.7","8.9","11.7","+6.0","1.3",10,2004
"12","8.1","11.5","16.2","+8.9","0.0",10,2004
"13","10.4","13.6","18.0","+11.2","0.0",10,2004
"14","0.2","3.9","17.9","+1.8","2.7",10,2004
"15","0.7","7.2","15.9","+5.4","0.6",10,2004
"16","1.0","4.4","10.2","+2.8","0.5",10,2004
"17","1.5","3.7","6.5","+2.4","0.8",10,2004
"18","-5.4","-2.6","3.1","-3.6","1.4",10,2004
"19","-7.2","-3.3","0.3","-4.0","0.0",10,2004
"20","-3.5","-2.0","0.2","-2.4","3.0",10,2004
"21","-7.9","-5.7","-3.2","-5.8","3.0",10,2004
"22","-8.9","-7.4","-5.3","-7.2","7.2",10,2004
"23","-16.5","-11.5","-7.6","-11.0","0.4",10,2004
"24","-18.2","-11.7","-2.9","-10.9","0.0",10,2004
"25","-12.3","-2.3","5.3","-1.2","0.0",10,2004
"26","2.7","5.3","10.5","+6.7","0.0",10,2004
"27","5.1","8.1","12.1","+9.8","0.0",10,2004
"28","-2.9","-0.1","9.5","+2.0","0.0",10,2004
"29","-4.8","-2.4","0.9","0.0","0.2",10,2004
"30","-7.4","-1.0","5.6","+1.7","0.0",10,2004
"31","2.0","4.0","5.7","+7.1","0.0",10,2004
