"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","9.3","18.2","27.4","+0.1","0.0",8,2011
"2","17.0","23.2","29.6","+5.2","0.0",8,2011
"3","17.3","22.4","30.7","+4.5","2.8",8,2011
"4","15.2","19.2","23.1","+1.4","9.1",8,2011
"5","12.7","16.5","21.1","-1.1","5.3",8,2011
"6","8.7","13.4","16.9","-4.1","0.0",8,2011
"7","6.3","12.9","18.0","-4.5","0.0",8,2011
"8","7.6","13.7","20.3","-3.5","0.0",8,2011
"9","12.2","15.5","19.2","-1.6","3.6",8,2011
"10","12.8","16.3","21.7","-0.6","0.0",8,2011
"11","12.5","17.0","22.4","+0.2","0.0",8,2011
"12","13.5","15.2","18.5","-1.4","10.6",8,2011
"13","12.6","14.0","15.7","-2.4","6.2",8,2011
"14","13.8","17.2","22.2","+0.9","2.3",8,2011
"15","12.7","18.3","24.3","+2.2","0.0",8,2011
"16","13.5","20.2","26.7","+4.3","0.0",8,2011
"17","13.4","19.4","26.9","+3.7","4.3",8,2011
"18","15.5","17.8","21.2","+2.3","0.5",8,2011
"19","10.9","14.9","18.6","-0.4","10.9",8,2011
"20","11.0","16.6","26.1","+1.5","0.0",8,2011
"21","11.3","14.8","22.3","-0.1","4.1",8,2011
"22","7.5","12.8","20.3","-1.9","0.0",8,2011
"23","11.3","14.2","17.9","-0.3","0.0",8,2011
"24","3.9","11.4","19.6","-2.8","0.0",8,2011
"25","11.6","16.6","24.1","+2.6","9.2",8,2011
"26","13.4","16.1","20.3","+2.3","4.5",8,2011
"27","7.9","11.9","15.9","-1.7","0.0",8,2011
"28","6.9","10.3","14.7","-3.0","1.9",8,2011
"29","3.5","9.3","15.8","-3.8","0.7",8,2011
"30","8.2","11.9","18.5","-0.9","1.6",8,2011
"31","6.4","9.4","12.0","-3.2","10.8",8,2011
