"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-6.0","1.1","7.7","-4.8","0.0",5,2002
"2","-3.7","3.9","11.1","-2.3","0.0",5,2002
"3","-2.4","6.4","13.7","0.0","0.0",5,2002
"4","0.0","8.5","16.0","+1.8","0.0",5,2002
"5","1.4","10.4","19.4","+3.5","0.0",5,2002
"6","3.6","12.3","20.6","+5.1","0.0",5,2002
"7","10.2","14.8","21.6","+7.4","0.0",5,2002
"8","11.7","17.5","23.8","+9.8","0.0",5,2002
"9","6.2","14.7","22.0","+6.8","0.0",5,2002
"10","10.0","14.9","20.7","+6.8","0.0",5,2002
"11","1.2","7.1","18.5","-1.3","1.0",5,2002
"12","10.5","13.5","22.1","+4.9","0.0",5,2002
"13","3.4","13.0","22.7","+4.2","0.0",5,2002
"14","7.3","17.5","28.4","+8.4","0.0",5,2002
"15","13.3","15.4","23.3","+6.1","0.3",5,2002
"16","6.5","14.6","22.7","+5.1","0.0",5,2002
"17","5.0","8.6","21.0","-1.2","0.4",5,2002
"18","2.2","4.8","9.1","-5.2","7.3",5,2002
"19","3.1","6.6","13.1","-3.6","0.0",5,2002
"20","4.3","14.3","24.2","+3.8","0.0",5,2002
"21","12.5","21.3","26.9","+10.6","0.0",5,2002
"22","10.4","20.4","29.4","+9.5","0.0",5,2002
"23","15.0","22.2","28.2","+11.1","0.0",5,2002
"24","14.4","20.5","27.5","+9.1","1.0",5,2002
"25","12.4","15.8","25.1","+4.2","2.6",5,2002
"26","9.7","15.9","22.4","+4.1","0.0",5,2002
"27","7.0","16.4","26.3","+4.4","0.0",5,2002
"28","13.5","20.9","29.8","+8.7","0.3",5,2002
"29","13.9","18.6","24.0","+6.1","1.0",5,2002
"30","9.2","15.6","23.5","+2.9","4.8",5,2002
"31","6.7","15.2","25.2","+2.3","0.0",5,2002
