"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-17.1","-14.2","-10.2","-11.6","0.0",1,2016
"2","-18.0","-13.9","-11.4","-11.2","0.6",1,2016
"3","-15.4","-14.3","-12.0","-11.6","1.0",1,2016
"4","-20.2","-17.2","-12.4","-14.5","0.0",1,2016
"5","-20.6","-13.0","-7.5","-10.3","1.4",1,2016
"6","-8.3","-5.3","-2.4","-2.6","1.9",1,2016
"7","-4.9","-3.4","-0.4","-0.6","2.0",1,2016
"8","-0.4","0.4","1.0","+3.2","14.0",1,2016
"9","-1.8","-0.5","0.9","+2.3","1.6",1,2016
"10","-1.1","-0.1","0.5","+2.7","0.0",1,2016
"11","-2.4","-1.3","-0.2","+1.6","8.0",1,2016
"12","-0.5","1.6","3.7","+4.5","13.0",1,2016
"13","2.8","4.3","6.0","+7.2","19.0",1,2016
"14","0.7","2.5","5.4","+5.4","0.5",1,2016
"15","-2.0","-0.5","0.7","+2.5","4.3",1,2016
"16","-2.9","-1.1","0.8","+1.9","0.0",1,2016
"17","0.4","2.0","4.3","+5.0","0.0",1,2016
"18","2.2","3.1","4.2","+6.1","0.0",1,2016
"19","-2.3","1.3","3.6","+4.4","0.4",1,2016
"20","-4.2","-3.2","-2.3","-0.1","0.0",1,2016
"21","-9.3","-4.8","-0.3","-1.7","0.0",1,2016
"22","-4.1","-1.1","0.2","+2.1","5.0",1,2016
"23","-11.8","-7.9","-4.1","-4.7","0.0",1,2016
"24","-13.2","-10.2","-7.5","-7.0","0.0",1,2016
"25","-17.0","-13.3","-9.6","-10.1","0.0",1,2016
"26","-17.4","-14.0","-8.6","-10.7","0.0",1,2016
"27","-16.7","-11.7","-5.1","-8.4","0.0",1,2016
"28","-5.8","0.1","1.5","+3.4","9.0",1,2016
"29","0.5","2.2","4.5","+5.5","4.0",1,2016
"30","-1.5","1.0","3.9","+4.4","0.0",1,2016
"31","-0.2","1.9","5.5","+5.3","0.0",1,2016
