"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-1.0","0.2","1.6","+1.3","2.0",3,2014
"2","0.9","3.0","6.0","+3.9","2.0",3,2014
"3","0.2","2.1","4.7","+2.8","2.0",3,2014
"4","3.1","5.0","8.7","+5.5","0.0",3,2014
"5","2.4","4.4","6.5","+4.7","0.0",3,2014
"6","1.2","3.7","8.1","+3.8","2.0",3,2014
"7","-2.2","1.6","7.6","+1.4","0.0",3,2014
"8","-3.0","1.3","7.0","+0.9","0.0",3,2014
"9","-2.1","0.0","4.1","-0.6","0.0",3,2014
"10","-0.8","2.2","7.9","+1.4","0.0",3,2014
"11","-0.6","1.6","3.9","+0.6","0.0",3,2014
"12","0.2","2.6","7.9","+1.3","6.0",3,2014
"13","1.5","4.4","9.4","+2.9","0.0",3,2014
"14","1.2","6.3","12.9","+4.5","0.0",3,2014
"15","5.2","8.3","12.8","+6.3","0.0",3,2014
"16","3.1","6.7","15.0","+4.5","3.0",3,2014
"17","0.0","2.1","4.4","-0.4","7.0",3,2014
"18","0.9","4.8","8.2","+2.0","0.4",3,2014
"19","0.2","5.3","11.8","+2.3","0.0",3,2014
"20","6.5","8.2","11.3","+4.9","5.0",3,2014
"21","0.9","4.7","9.2","+1.2","0.6",3,2014
"22","-1.0","5.2","14.3","+1.4","0.0",3,2014
"23","-0.5","8.7","19.4","+4.6","0.0",3,2014
"24","1.3","9.6","19.4","+5.2","0.0",3,2014
"25","3.2","7.2","16.8","+2.5","0.0",3,2014
"26","3.0","8.7","17.8","+3.8","0.0",3,2014
"27","4.8","9.7","15.3","+4.5","0.0",3,2014
"28","5.9","9.3","13.5","+3.8","0.3",3,2014
"29","-1.3","2.0","10.8","-3.8","4.0",3,2014
"30","-2.5","1.5","7.8","-4.6","0.0",3,2014
"31","-0.8","5.2","10.5","-1.2","0.0",3,2014
