"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","13.2","18.3","25.0","+5.4","0.0",10,2005
"2","14.2","18.3","22.6","+5.6","0.0",10,2005
"3","15.6","18.9","23.5","+6.4","0.0",10,2005
"4","10.2","16.9","22.8","+4.6","0.0",10,2005
"5","9.2","14.5","22.6","+2.5","0.0",10,2005
"6","7.8","10.5","15.8","-1.3","2.4",10,2005
"7","7.1","9.9","14.4","-1.7","5.0",10,2005
"8","7.6","12.0","18.4","+0.6","0.0",10,2005
"9","6.7","10.0","15.2","-1.2","0.0",10,2005
"10","5.7","10.3","17.1","-0.6","0.0",10,2005
"11","7.1","10.9","16.6","+0.2","15.2",10,2005
"12","11.5","14.2","18.4","+3.7","0.0",10,2005
"13","12.2","15.0","20.4","+4.8","0.3",10,2005
"14","13.3","14.7","17.7","+4.7","13.8",10,2005
"15","10.2","12.5","15.0","+2.7","5.0",10,2005
"16","10.6","12.5","15.8","+2.9","0.0",10,2005
"17","10.5","12.4","15.3","+3.1","4.1",10,2005
"18","8.4","10.6","14.7","+1.5","0.0",10,2005
"19","6.0","9.1","15.2","+0.3","0.0",10,2005
"20","5.6","7.5","11.0","-1.1","0.0",10,2005
"21","-0.4","3.5","7.5","-4.9","0.0",10,2005
"22","-3.2","2.6","10.6","-5.5","0.0",10,2005
"23","1.2","7.0","17.0","-0.9","0.0",10,2005
"24","5.4","10.4","18.7","+2.8","0.0",10,2005
"25","8.8","12.0","14.8","+4.6","8.4",10,2005
"26","-0.5","5.7","12.6","-1.4","0.0",10,2005
"27","9.1","12.0","14.1","+5.1","2.0",10,2005
"28","6.7","8.3","12.1","+1.6","2.2",10,2005
"29","0.4","2.3","8.4","-4.1","1.6",10,2005
"30","0.7","2.4","5.1","-3.7","0.0",10,2005
"31","1.3","4.0","7.9","-1.9","0.0",10,2005
