"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","7.5","10.9","16.2","+4.2","0.0",4,2016
"2","7.3","9.6","13.7","+2.5","0.7",4,2016
"3","4.0","6.7","11.2","-0.7","0.0",4,2016
"4","3.8","7.9","11.5","+0.2","0.0",4,2016
"5","5.8","10.1","16.1","+2.2","0.0",4,2016
"6","2.4","10.1","17.6","+1.9","0.0",4,2016
"7","5.0","13.0","20.3","+4.5","0.0",4,2016
"8","9.2","15.9","22.9","+7.1","0.0",4,2016
"9","8.9","15.3","21.9","+6.2","0.0",4,2016
"10","6.3","13.5","21.3","+4.2","0.0",4,2016
"11","8.3","14.2","20.5","+4.6","0.0",4,2016
"12","10.5","15.8","22.0","+5.9","0.0",4,2016
"13","10.0","15.5","20.2","+5.4","0.0",4,2016
"14","12.1","13.5","17.5","+3.1","0.5",4,2016
"15","10.1","14.4","21.1","+3.8","0.0",4,2016
"16","12.0","13.6","19.1","+2.7","0.0",4,2016
"17","6.0","13.1","18.7","+2.0","0.0",4,2016
"18","7.4","14.3","22.2","+2.9","0.0",4,2016
"19","12.5","15.7","19.7","+4.1","0.0",4,2016
"20","10.0","15.4","20.3","+3.6","1.0",4,2016
"21","7.0","12.0","19.6","0.0","3.0",4,2016
"22","4.5","8.8","13.2","-3.5","0.0",4,2016
"23","5.5","11.5","17.4","-1.0","0.0",4,2016
"24","6.4","13.6","20.5","+0.9","0.0",4,2016
"25","10.2","14.6","19.5","+1.7","0.4",4,2016
"26","11.5","15.0","19.9","+1.9","4.0",4,2016
"27","11.5","13.9","18.8","+0.6","6.0",4,2016
"28","10.7","13.8","17.6","+0.3","0.5",4,2016
"29","7.6","14.3","20.0","+0.6","0.0",4,2016
"30","8.7","14.5","19.8","+0.6","3.0",4,2016
