"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-0.5","0.6","1.4","+9.0","1.2",1,2017
"2","0.0","0.3","1.0","+8.8","6.7",1,2017
"3","-6.5","-3.2","0.0","+5.3","0.3",1,2017
"4","-19.3","-15.3","-6.5","-6.8","0.0",1,2017
"5","-19.3","-12.7","-8.3","-4.1","6.0",1,2017
"6","-23.5","-17.0","-8.7","-8.4","1.2",1,2017
"7","-28.2","-26.7","-23.5","-18.1","0.8",1,2017
"8","-31.6","-28.2","-25.0","-19.6","0.2",1,2017
"9","-32.0","-28.3","-24.2","-19.6","0.0",1,2017
"10","-23.9","-15.4","-10.0","-6.7","0.0",1,2017
"11","-10.3","-6.5","-5.0","+2.2","0.0",1,2017
"12","-13.0","-11.0","-5.3","-2.2","0.6",1,2017
"13","-13.0","-6.0","-2.2","+2.8","0.4",1,2017
"14","-5.6","-3.3","-1.3","+5.5","2.0",1,2017
"15","-6.0","-4.0","-2.8","+4.8","0.0",1,2017
"16","-8.5","-7.0","-5.5","+1.9","2.0",1,2017
"17","-10.3","-8.6","-7.1","+0.3","8.0",1,2017
"18","-11.3","-8.9","-7.0","0.0","1.2",1,2017
"19","-8.6","-6.5","-4.6","+2.5","1.3",1,2017
"20","-4.6","-2.8","-0.3","+6.2","0.4",1,2017
"21","-10.3","-7.4","-3.2","+1.6","0.4",1,2017
"22","-9.3","-7.8","-6.0","+1.3","0.0",1,2017
"23","-9.0","-7.1","-4.8","+2.0","0.0",1,2017
"24","-4.8","-1.4","-0.6","+7.8","8.0",1,2017
"25","-16.1","-12.0","-0.8","-2.8","2.0",1,2017
"26","-22.2","-19.0","-16.1","-9.8","0.0",1,2017
"27","-17.0","-12.7","-9.7","-3.4","2.0",1,2017
"28","-14.0","-11.0","-9.6","-1.7","0.7",1,2017
"29","-18.8","-16.3","-12.5","-7.0","0.0",1,2017
"30","-19.3","-15.5","-10.2","-6.1","0.0",1,2017
"31","-17.3","-15.0","-10.2","-5.6","0.6",1,2017
