"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-0.3","3.0","9.2","+3.1","0.0",11,2007
"2","2.2","5.5","8.0","+5.9","4.9",11,2007
"3","1.1","2.1","3.9","+2.8","2.9",11,2007
"4","-0.3","0.5","1.5","+1.4","3.3",11,2007
"5","-3.5","-2.7","-0.1","-1.5","0.7",11,2007
"6","-5.6","-4.7","-1.5","-3.3","0.7",11,2007
"7","-8.0","-5.9","-3.0","-4.2","0.0",11,2007
"8","-8.7","-6.5","-3.0","-4.6","0.0",11,2007
"9","-7.1","-6.2","-4.8","-4.1","1.3",11,2007
"10","-7.1","-5.3","-3.1","-2.9","1.4",11,2007
"11","-4.4","-3.7","-1.9","-1.1","0.0",11,2007
"12","-10.6","-7.4","-3.7","-4.6","0.0",11,2007
"13","-7.5","-6.1","-4.8","-3.1","0.0",11,2007
"14","-6.2","-2.4","0.3","+0.8","7.3",11,2007
"15","-2.5","-0.9","1.1","+2.5","0.4",11,2007
"16","-3.5","-2.6","-0.1","+1.0","1.0",11,2007
"17","-4.9","-4.0","-1.7","-0.2","5.9",11,2007
"18","-10.3","-7.8","-3.8","-3.8","3.4",11,2007
"19","-12.5","-10.5","-8.9","-6.4","0.6",11,2007
"20","-10.4","-5.0","0.1","-0.7","2.2",11,2007
"21","-9.5","-6.9","-3.8","-2.4","0.9",11,2007
"22","-11.0","-8.4","-4.9","-3.8","0.0",11,2007
"23","-6.5","-4.5","-0.9","+0.3","0.0",11,2007
"24","-4.6","-3.3","-1.7","+1.7","0.0",11,2007
"25","-2.9","-1.8","0.9","+3.3","2.8",11,2007
"26","0.6","1.2","2.0","+6.4","0.7",11,2007
"27","-0.2","1.1","2.7","+6.5","4.5",11,2007
"28","-1.0","-0.2","1.4","+5.3","3.4",11,2007
"29","-4.2","-3.0","-0.8","+2.6","1.1",11,2007
"30","-5.5","-4.6","-3.8","+1.1","2.6",11,2007
