"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","1.9","11.1","18.2","-0.1","0.0",10,2008
"2","5.8","12.7","20.5","+1.7","0.0",10,2008
"3","7.6","14.2","21.6","+3.5","0.0",10,2008
"4","6.8","13.7","21.1","+3.2","0.0",10,2008
"5","8.2","15.7","23.2","+5.5","0.0",10,2008
"6","9.2","16.6","24.4","+6.7","0.0",10,2008
"7","12.7","17.4","22.7","+7.7","0.0",10,2008
"8","12.4","15.6","20.9","+6.2","0.8",10,2008
"9","9.3","12.7","17.0","+3.5","6.7",10,2008
"10","3.0","5.6","10.0","-3.3","0.0",10,2008
"11","0.3","6.1","11.5","-2.5","0.0",10,2008
"12","5.9","9.2","13.0","+0.8","1.2",10,2008
"13","9.9","11.4","14.4","+3.3","1.0",10,2008
"14","5.3","10.1","15.3","+2.3","0.0",10,2008
"15","4.8","11.4","19.2","+3.8","0.0",10,2008
"16","8.3","12.0","14.3","+4.7","0.0",10,2008
"17","9.1","11.5","14.7","+4.4","2.0",10,2008
"18","10.3","13.7","18.3","+6.9","0.0",10,2008
"19","4.8","7.2","14.6","+0.7","9.0",10,2008
"20","3.5","6.9","12.1","+0.6","0.0",10,2008
"21","0.3","6.5","12.4","+0.5","0.0",10,2008
"22","3.0","7.3","12.6","+1.6","0.0",10,2008
"23","1.8","6.7","12.9","+1.2","0.0",10,2008
"24","1.1","6.5","12.4","+1.3","0.0",10,2008
"25","3.9","7.4","11.2","+2.5","0.0",10,2008
"26","3.5","5.5","9.1","+0.9","0.0",10,2008
"27","-3.1","4.1","10.1","-0.3","0.0",10,2008
"28","-0.5","5.2","11.4","+1.1","0.0",10,2008
"29","-0.3","7.1","14.1","+3.3","0.0",10,2008
"30","0.0","7.0","15.3","+3.4","0.0",10,2008
"31","3.3","8.5","15.6","+5.2","0.0",10,2008
