"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-5.4","0.4","7.1","-6.8","0.0",5,2004
"2","4.6","10.1","19.2","+2.6","0.0",5,2004
"3","10.5","17.8","23.7","+10.1","0.0",5,2004
"4","7.1","17.6","26.7","+9.6","0.0",5,2004
"5","4.6","15.4","23.7","+7.1","0.5",5,2004
"6","1.6","6.7","12.6","-1.8","2.5",5,2004
"7","2.6","4.8","7.4","-4.0","0.3",5,2004
"8","-2.8","5.1","11.2","-3.9","0.0",5,2004
"9","6.4","9.5","15.8","+0.2","3.9",5,2004
"10","1.1","6.1","13.8","-3.4","0.0",5,2004
"11","8.7","15.9","24.7","+6.1","0.1",5,2004
"12","7.2","17.6","27.3","+7.6","0.0",5,2004
"13","11.0","18.0","25.4","+7.7","0.0",5,2004
"14","7.5","17.9","26.8","+7.4","0.0",5,2004
"15","9.0","19.9","30.2","+9.2","0.0",5,2004
"16","10.4","22.1","32.3","+11.1","0.0",5,2004
"17","12.2","24.1","35.0","+12.9","0.0",5,2004
"18","14.6","25.9","36.1","+14.5","0.0",5,2004
"19","13.0","25.6","35.2","+13.9","0.0",5,2004
"20","20.9","23.8","34.5","+11.9","0.0",5,2004
"21","14.5","15.6","21.1","+3.5","0.0",5,2004
"22","9.9","15.8","21.3","+3.4","0.0",5,2004
"23","8.6","16.5","23.0","+3.9","0.0",5,2004
"24","8.8","14.5","21.7","+1.7","13.8",5,2004
"25","6.0","11.5","17.0","-1.5","5.0",5,2004
"26","6.0","14.4","22.0","+1.1","0.0",5,2004
"27","8.5","17.0","24.4","+3.5","0.0",5,2004
"28","9.9","19.8","27.8","+6.1","0.0",5,2004
"29","11.6","21.5","29.1","+7.6","0.0",5,2004
"30","12.8","21.9","28.9","+7.8","0.0",5,2004
"31","13.5","17.9","27.8","+3.6","0.0",5,2004
